time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.16808,veh5,drop_decision_no_action,7,2164,214,-1,-1,-1,-1,-1
2.18633,veh5,drop_decision_no_action,4,2175,228,-1,-1,-1,-1,-1
2.36808,veh5,drop_decision_no_action,7,2364,420,-1,-1,-1,-1,-1
2.38633,veh5,drop_decision_no_action,4,2375,434,-1,-1,-1,-1,-1
2.58633,veh5,drop_decision_no_action,4,2575,640,-1,-1,-1,-1,-1
2.66808,veh5,drop_decision_no_action,7,2664,721,-1,-1,-1,-1,-1
2.74358,veh5,drop_decision_no_action,6,2734,784,-1,-1,-1,-1,-1
2.78633,veh5,drop_decision_no_action,4,2775,837,-1,-1,-1,-1,-1
2.96808,veh5,drop_decision_no_action,7,2964,1013,-1,-1,-1,-1,-1
2.99908,veh5,drop_decision_no_action,4,2975,1012,-1,-1,-1,-1,-1
3.28108,veh5,drop_decision_no_action,7,3264,1311,-1,-1,-1,-1,-1
3.29908,veh5,drop_decision_no_action,4,3275,1310,-1,-1,-1,-1,-1
3.58108,veh5,drop_decision_no_action,7,3564,1609,-1,-1,-1,-1,-1
3.74808,veh5,drop_decision_no_action,6,3734,1771,-1,-1,-1,-1,-1
3.79908,veh5,drop_decision_no_action,4,3775,1807,-1,-1,-1,-1,-1
4.04083,veh5,drop_decision_no_action,6,4034,2072,-1,-1,-1,-1,-1
4.08108,veh5,drop_decision_no_action,7,4064,2103,-1,-1,-1,-1,-1
4.35508,veh5,drop_decision_no_action,3,4324,2365,-1,-1,-1,-1,-1
4.39158,veh5,drop_decision_no_action,4,4375,2419,-1,-1,-1,-1,-1
4.74083,veh5,drop_decision_no_action,6,4734,2782,-1,-1,-1,-1,-1
4.87083,veh5,drop_decision_no_action,7,4864,2910,-1,-1,-1,-1,-1
5.04383,veh5,drop_decision_no_action,2,4923,2969,-1,-1,-1,-1,-1
5.25608,veh5,drop_decision_no_action,2,5123,3167,-1,-1,-1,-1,-1
5.47083,veh5,drop_decision_no_action,7,5464,3523,-1,-1,-1,-1,-1
5.65283,veh5,drop_decision_no_action,6,5634,3706,-1,-1,-1,-1,-1
5.98033,veh5,drop_decision_no_action,4,5975,4058,-1,-1,-1,-1,-1
6.15033,veh5,drop_decision_no_action,3,6124,4221,-1,-1,-1,-1,-1
6.18033,veh5,drop_decision_no_action,4,6175,4269,-1,-1,-1,-1,-1
6.39133,veh5,drop_decision_no_action,4,6375,4538,-1,-1,-1,-1,-1
6.45283,veh5,drop_decision_no_action,6,6434,4604,-1,-1,-1,-1,-1
6.55283,veh5,drop_decision_no_action,6,6534,4725,-1,-1,-1,-1,-1
6.65108,veh5,drop_decision_no_action,2,6523,4712,-1,-1,-1,-1,-1
6.79133,veh5,drop_decision_no_action,4,6775,5038,-1,-1,-1,-1,-1
6.85283,veh5,drop_decision_no_action,6,6834,5107,-1,-1,-1,-1,-1
6.86733,veh5,drop_decision_no_action,7,6864,5156,-1,-1,-1,-1,-1
6.99133,veh5,drop_decision_no_action,4,6975,5281,-1,-1,-1,-1,-1
7.03533,veh5,drop_decision_no_action,6,7034,5333,-1,-1,-1,-1,-1
7.14358,veh5,drop_decision_no_action,2,7123,5464,-1,-1,-1,-1,-1
7.33533,veh5,drop_decision_no_action,6,7334,5714,-1,-1,-1,-1,-1
7.59333,veh5,drop_decision_no_action,4,7575,6018,-1,-1,-1,-1,-1
7.94933,veh5,drop_decision_no_action,6,7934,6447,-1,-1,-1,-1,-1
8.16608,veh5,drop_decision_no_action,7,8164,6734,-1,-1,-1,-1,-1
8.26608,veh5,drop_decision_no_action,7,8264,6870,-1,-1,-1,-1,-1
8.84433,veh5,drop_decision_no_action,6,8834,7591,-1,-1,-1,-1,-1
9.13433,veh5,drop_decision_no_action,2,9123,7973,-1,-1,-1,-1,-1
9.14433,veh5,drop_decision_no_action,6,9134,7993,-1,-1,-1,-1,-1
9.67933,veh5,drop_decision_no_action,7,9664,8664,-1,-1,-1,-1,-1
9.73983,veh5,drop_decision_no_action,6,9734,8750,-1,-1,-1,-1,-1
9.78958,veh5,drop_decision_no_action,4,9775,8802,-1,-1,-1,-1,-1
9.97933,veh5,drop_decision_no_action,7,9964,9008,-1,-1,-1,-1,-1
10.0503,veh5,drop_decision_no_action,3,10024,9086,-1,-1,-1,-1,-1
10.1896,veh5,drop_decision_no_action,4,10175,9284,-1,-1,-1,-1,-1
