vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh4,969,0.969056,,0,CAM,4,,969
veh4,1169,1.16906,,0,CAM,4,,1169
veh4,1369,1.36906,,0,CAM,4,,1369
veh4,1569,1.56906,,0,CAM,4,,1569
veh4,1769,1.76906,,0,CAM,4,,1769
veh4,1969,1.96906,,0,CAM,4,,1969
veh4,2107,,2.10958,1,CAM,9,4,2107
veh4,2119,,2.12858,1,CAM,5,4,2119
veh4,2169,2.16906,,0,CAM,4,,2169
veh4,2185,,2.18733,1,CAM,2,4,2185
veh4,2307,,2.30958,1,CAM,9,4,2307
veh4,2319,,2.32858,1,CAM,5,4,2319
veh4,2369,2.36906,,0,CAM,4,,2369
veh4,2385,,2.38733,1,CAM,2,4,2385
veh4,2507,,2.50958,1,CAM,9,4,2507
veh4,2519,,2.52858,1,CAM,5,4,2519
veh4,2585,,2.58733,1,CAM,2,4,2585
veh4,2599,,2.61683,1,CAM,8,4,2599
veh4,2707,,2.70958,1,CAM,9,4,2707
veh4,2711,,2.72258,1,CAM,11,4,2711
veh4,2719,,2.72858,1,CAM,5,4,2719
veh4,2785,,2.78733,1,CAM,2,4,2785
veh4,2771,,2.79383,1,CAM,14,4,2771
veh4,2799,,2.82983,1,CAM,8,4,2799
veh4,2907,,2.90958,1,CAM,9,4,2907
veh4,2911,,2.92258,1,CAM,11,4,2911
veh4,2919,,2.92858,1,CAM,5,4,2919
veh4,2985,,2.99183,1,CAM,2,4,2985
veh4,2971,,2.99383,1,CAM,14,4,2971
veh4,2999,,3.02983,1,CAM,8,4,2999
veh4,3111,,3.12008,1,CAM,11,4,3111
veh4,3107,,3.12233,1,CAM,9,4,3107
veh4,3119,,3.12858,1,CAM,5,4,3119
veh4,3169,3.16906,,0,CAM,4,,3169
veh4,3185,,3.19183,1,CAM,2,4,3185
veh4,3171,,3.19383,1,CAM,14,4,3171
veh4,3199,,3.22983,1,CAM,8,4,3199
veh4,3311,,3.32008,1,CAM,11,4,3311
veh4,3319,,3.32083,1,CAM,5,4,3319
veh4,3307,,3.32233,1,CAM,9,4,3307
veh4,3385,,3.39183,1,CAM,2,4,3385
veh4,3371,,3.39383,1,CAM,14,4,3371
veh4,3399,,3.42983,1,CAM,8,4,3399
veh4,3511,,3.52008,1,CAM,11,4,3511
veh4,3519,,3.52083,1,CAM,5,4,3519
veh4,3507,,3.52233,1,CAM,9,4,3507
veh4,3585,,3.59183,1,CAM,2,4,3585
veh4,3571,,3.59383,1,CAM,14,4,3571
veh4,3599,,3.62983,1,CAM,8,4,3599
veh4,3711,,3.72008,1,CAM,11,4,3711
veh4,3719,,3.72083,1,CAM,5,4,3719
veh4,3766,,3.78108,1,CAM,16,4,3766
veh4,3771,,3.79383,1,CAM,14,4,3771
veh4,3785,,3.80458,1,CAM,2,4,3785
veh4,3799,,3.82583,1,CAM,8,4,3799
veh4,3911,,3.92008,1,CAM,11,4,3911
veh4,3919,,3.93633,1,CAM,5,4,3919
veh4,3969,3.96906,,0,CAM,4,,3969
veh4,3966,,3.98108,1,CAM,16,4,3966
veh4,3971,,3.99383,1,CAM,14,4,3971
veh4,3985,,4.00458,1,CAM,2,4,3985
veh4,3999,,4.02583,1,CAM,8,4,3999
veh4,4111,,4.12558,1,CAM,11,4,4111
veh4,4119,,4.13633,1,CAM,5,4,4119
veh4,4166,,4.18108,1,CAM,16,4,4166
veh4,4171,,4.18933,1,CAM,14,4,4171
veh4,4185,,4.20458,1,CAM,2,4,4185
veh4,4199,,4.22583,1,CAM,8,4,4199
veh4,4285,,4.30458,1,CAM,2,4,4285
veh4,4311,,4.32558,1,CAM,11,4,4311
veh4,4366,,4.37433,1,CAM,16,4,4366
veh4,4371,,4.38933,1,CAM,14,4,4371
veh4,4385,,4.40458,1,CAM,2,4,4385
veh4,4399,,4.43058,1,CAM,8,4,4399
veh4,4485,,4.49658,1,CAM,2,4,4485
veh4,4507,,4.51483,1,CAM,9,4,4507
veh4,4519,,4.53633,1,CAM,5,4,4519
veh4,4571,,4.58933,1,CAM,14,4,4571
veh4,4585,,4.59658,1,CAM,2,4,4585
veh4,4566,,4.63433,1,CAM,16,4,4566
veh4,4685,,4.69658,1,CAM,2,4,4685
veh4,4769,4.76906,,0,CAM,4,,4769
veh4,4766,,4.77433,1,CAM,16,4,4766
veh4,4775,,4.78283,1,CAM,17,4,4775
veh4,4771,,4.78933,1,CAM,14,4,4771
veh4,4785,,4.79658,1,CAM,2,4,4785
veh4,4820,,4.82333,1,CAM,15,4,4820
veh4,4885,,4.89658,1,CAM,2,4,4885
veh4,4919,,4.93383,1,CAM,5,4,4919
veh4,4966,,4.97433,1,CAM,16,4,4966
veh4,4975,,4.98283,1,CAM,17,4,4975
veh4,4985,,4.99658,1,CAM,2,4,4985
veh4,5085,,5.09658,1,CAM,2,4,5085
veh4,5166,,5.17433,1,CAM,16,4,5166
veh4,5175,,5.18283,1,CAM,17,4,5175
veh4,5185,,5.19658,1,CAM,2,4,5185
veh4,5285,,5.29658,1,CAM,2,4,5285
veh4,5319,,5.33383,1,CAM,5,4,5319
veh4,5320,,5.33758,1,CAM,15,4,5320
veh4,5366,,5.37058,1,CAM,16,4,5366
veh4,5375,,5.38208,1,CAM,17,4,5375
veh4,5385,,5.39658,1,CAM,2,4,5385
veh4,5485,,5.49908,1,CAM,2,4,5485
veh4,5511,,5.51608,1,CAM,11,4,5511
veh4,5507,,5.52358,1,CAM,9,4,5507
veh4,5569,5.56906,,0,CAM,4,,5569
