vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh9,2107,2.10716,,0,CAM,9,,2107
veh9,2119,,2.12858,1,CAM,5,9,2119
veh9,2169,,2.17558,1,CAM,4,9,2169
veh9,2185,,2.18733,1,CAM,2,9,2185
veh9,2307,2.30716,,0,CAM,9,,2307
veh9,2319,,2.32858,1,CAM,5,9,2319
veh9,2369,,2.37558,1,CAM,4,9,2369
veh9,2385,,2.38733,1,CAM,2,9,2385
veh9,2507,2.50716,,0,CAM,9,,2507
veh9,2519,,2.52858,1,CAM,5,9,2519
veh9,2585,,2.58733,1,CAM,2,9,2585
veh9,2599,,2.60383,1,CAM,8,9,2599
veh9,2707,2.70716,,0,CAM,9,,2707
veh9,2711,,2.72258,1,CAM,11,9,2711
veh9,2719,,2.72858,1,CAM,5,9,2719
veh9,2715,,2.73433,1,CAM,7,9,2715
veh9,2771,,2.78483,1,CAM,14,9,2771
veh9,2785,,2.78733,1,CAM,2,9,2785
veh9,2799,,2.81933,1,CAM,8,9,2799
veh9,2907,2.90716,,0,CAM,9,,2907
veh9,2911,,2.92258,1,CAM,11,9,2911
veh9,2919,,2.92858,1,CAM,5,9,2919
veh9,2915,,2.93333,1,CAM,7,9,2915
veh9,2971,,2.98483,1,CAM,14,9,2971
veh9,2985,,2.99183,1,CAM,2,9,2985
veh9,2999,,3.01933,1,CAM,8,9,2999
veh9,3107,3.10716,,0,CAM,9,,3107
veh9,3111,,3.12008,1,CAM,11,9,3111
veh9,3119,,3.12858,1,CAM,5,9,3119
veh9,3115,,3.13333,1,CAM,7,9,3115
veh9,3169,,3.17558,1,CAM,4,9,3169
veh9,3171,,3.18483,1,CAM,14,9,3171
veh9,3185,,3.19183,1,CAM,2,9,3185
veh9,3199,,3.21933,1,CAM,8,9,3199
veh9,3307,3.30716,,0,CAM,9,,3307
veh9,3311,,3.32008,1,CAM,11,9,3311
veh9,3319,,3.32083,1,CAM,5,9,3319
veh9,3315,,3.33333,1,CAM,7,9,3315
veh9,3371,,3.38483,1,CAM,14,9,3371
veh9,3385,,3.39183,1,CAM,2,9,3385
veh9,3399,,3.41933,1,CAM,8,9,3399
veh9,3507,3.50716,,0,CAM,9,,3507
veh9,3511,,3.52008,1,CAM,11,9,3511
veh9,3519,,3.52083,1,CAM,5,9,3519
veh9,3571,,3.58483,1,CAM,14,9,3571
veh9,3585,,3.59183,1,CAM,2,9,3585
veh9,3599,,3.61933,1,CAM,8,9,3599
veh9,3711,,3.72008,1,CAM,11,9,3711
veh9,3719,,3.72083,1,CAM,5,9,3719
veh9,3766,,3.78108,1,CAM,16,9,3766
veh9,3771,,3.78483,1,CAM,14,9,3771
veh9,3785,,3.80458,1,CAM,2,9,3785
veh9,3799,,3.81558,1,CAM,8,9,3799
veh9,3829,,3.85333,1,CAM,1,9,3829
veh9,3911,,3.92008,1,CAM,11,9,3911
veh9,3919,,3.95058,1,CAM,5,9,3919
veh9,3966,,3.98108,1,CAM,16,9,3966
veh9,3971,,3.98483,1,CAM,14,9,3971
veh9,3969,,3.98858,1,CAM,4,9,3969
veh9,3985,,4.00458,1,CAM,2,9,3985
veh9,3999,,4.01558,1,CAM,8,9,3999
veh9,4111,,4.12558,1,CAM,11,9,4111
veh9,4119,,4.13633,1,CAM,5,9,4119
veh9,4171,,4.17908,1,CAM,14,9,4171
veh9,4166,,4.18108,1,CAM,16,9,4166
veh9,4185,,4.20458,1,CAM,2,9,4185
veh9,4199,,4.21558,1,CAM,8,9,4199
veh9,4285,,4.30458,1,CAM,2,9,4285
veh9,4311,,4.32558,1,CAM,11,9,4311
veh9,4366,,4.37433,1,CAM,16,9,4366
veh9,4371,,4.37908,1,CAM,14,9,4371
veh9,4385,,4.40458,1,CAM,2,9,4385
