vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh14,2591,,2.59358,1,CAM,9,14,2591
veh14,2623,,2.62758,1,CAM,3,14,2623
veh14,2638,,2.64258,1,CAM,10,14,2638
veh14,2641,,2.65383,1,CAM,2,14,2641
veh14,2712,,2.71583,1,CAM,8,14,2712
veh14,2723,,2.72733,1,CAM,12,14,2723
veh14,2736,,2.75408,1,CAM,6,14,2736
veh14,2771,,2.77508,1,CAM,5,14,2771
veh14,2791,,2.79358,1,CAM,9,14,2791
veh14,2806,,2.80858,1,CAM,1,14,2806
veh14,2823,,2.82758,1,CAM,3,14,2823
veh14,2831,,2.83333,1,CAM,16,14,2831
veh14,2838,,2.84258,1,CAM,10,14,2838
veh14,2841,,2.85383,1,CAM,2,14,2841
veh14,2912,,2.91583,1,CAM,8,14,2912
veh14,2923,,2.92733,1,CAM,12,14,2923
veh14,2936,,2.95408,1,CAM,6,14,2936
veh14,2971,,2.97508,1,CAM,5,14,2971
veh14,2991,,2.99358,1,CAM,9,14,2991
veh14,3023,,3.02758,1,CAM,3,14,3023
veh14,3031,,3.03333,1,CAM,16,14,3031
veh14,3038,,3.04258,1,CAM,10,14,3038
veh14,3041,,3.05383,1,CAM,2,14,3041
veh14,3112,,3.11583,1,CAM,8,14,3112
veh14,3123,,3.12733,1,CAM,12,14,3123
veh14,3136,,3.14433,1,CAM,6,14,3136
veh14,3171,,3.17508,1,CAM,5,14,3171
veh14,3191,,3.21108,1,CAM,9,14,3191
veh14,3231,,3.23333,1,CAM,16,14,3231
veh14,3238,,3.24258,1,CAM,10,14,3238
veh14,3134,,3.24658,1,CAM,4,14,3134
veh14,3241,,3.25833,1,CAM,2,14,3241
veh14,3289,,3.30408,1,CAM,13,14,3289
veh14,3312,,3.31583,1,CAM,8,14,3312
veh14,3323,,3.32733,1,CAM,12,14,3323
veh14,3371,,3.38758,1,CAM,5,14,3371
veh14,3391,,3.41108,1,CAM,9,14,3391
veh14,3406,,3.41933,1,CAM,1,14,3406
veh14,3431,,3.43333,1,CAM,16,14,3431
veh14,3438,,3.44258,1,CAM,10,14,3438
veh14,3441,,3.45833,1,CAM,2,14,3441
veh14,3460,3.46013,,0,CAM,14,,3460
veh14,3489,,3.50408,1,CAM,13,14,3489
veh14,3512,,3.51583,1,CAM,8,14,3512
veh14,3523,,3.52733,1,CAM,12,14,3523
veh14,3571,,3.58758,1,CAM,5,14,3571
veh14,3631,,3.63333,1,CAM,16,14,3631
veh14,3623,,3.64058,1,CAM,3,14,3623
veh14,3638,,3.64258,1,CAM,10,14,3638
veh14,3636,,3.64433,1,CAM,6,14,3636
veh14,3641,,3.65833,1,CAM,2,14,3641
veh14,3660,3.66013,,0,CAM,14,,3660
veh14,3689,,3.70408,1,CAM,13,14,3689
veh14,3712,,3.71583,1,CAM,8,14,3712
veh14,3723,,3.72733,1,CAM,12,14,3723
veh14,3771,,3.78758,1,CAM,5,14,3771
veh14,3838,,3.83958,1,CAM,10,14,3838
veh14,3831,,3.84758,1,CAM,16,14,3831
veh14,3841,,3.85833,1,CAM,2,14,3841
veh14,3860,3.86013,,0,CAM,14,,3860
veh14,3889,,3.89833,1,CAM,13,14,3889
veh14,3912,,3.91583,1,CAM,8,14,3912
veh14,3913,,3.92258,1,CAM,18,14,3913
veh14,3934,,3.93883,1,CAM,4,14,3934
veh14,3923,,3.94158,1,CAM,12,14,3923
veh14,3971,,3.98758,1,CAM,5,14,3971
veh14,4006,,4.01683,1,CAM,1,14,4006
veh14,4038,,4.03958,1,CAM,10,14,4038
veh14,4031,,4.04758,1,CAM,16,14,4031
veh14,4041,,4.05833,1,CAM,2,14,4041
veh14,4060,4.06013,,0,CAM,14,,4060
veh14,4089,,4.09833,1,CAM,13,14,4089
veh14,4113,,4.12258,1,CAM,18,14,4113
veh14,4112,,4.13133,1,CAM,8,14,4112
veh14,4123,,4.14158,1,CAM,12,14,4123
veh14,4136,,4.14333,1,CAM,6,14,4136
veh14,4171,,4.18758,1,CAM,5,14,4171
veh14,4238,,4.23958,1,CAM,10,14,4238
veh14,4223,,4.24058,1,CAM,3,14,4223
veh14,4231,,4.24758,1,CAM,16,14,4231
veh14,4241,,4.25833,1,CAM,2,14,4241
veh14,4260,4.26013,,0,CAM,14,,4260
veh14,4289,,4.29833,1,CAM,13,14,4289
veh14,4305,,4.31458,1,CAM,17,14,4305
veh14,4313,,4.32258,1,CAM,18,14,4313
veh14,4312,,4.33133,1,CAM,8,14,4312
veh14,4323,,4.34158,1,CAM,12,14,4323
veh14,4341,,4.35833,1,CAM,2,14,4341
veh14,4391,,4.39658,1,CAM,9,14,4391
veh14,4438,,4.43958,1,CAM,10,14,4438
veh14,4431,,4.44758,1,CAM,16,14,4431
veh14,4441,,4.45833,1,CAM,2,14,4441
veh14,4460,4.46013,,0,CAM,14,,4460
veh14,4467,,4.48208,1,CAM,15,14,4467
veh14,4489,,4.49833,1,CAM,13,14,4489
veh14,4505,,4.51458,1,CAM,17,14,4505
veh14,4513,,4.52258,1,CAM,18,14,4513
veh14,4512,,4.53133,1,CAM,8,14,4512
