vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh11,2029,,2.04958,1,CAM,1,11,2029
veh11,2107,,2.10958,1,CAM,9,11,2107
veh11,2119,,2.12858,1,CAM,5,11,2119
veh11,2169,,2.17558,1,CAM,4,11,2169
veh11,2185,,2.18733,1,CAM,2,11,2185
veh11,2229,,2.24958,1,CAM,1,11,2229
veh11,2307,,2.30958,1,CAM,9,11,2307
veh11,2319,,2.32858,1,CAM,5,11,2319
veh11,2369,,2.37558,1,CAM,4,11,2369
veh11,2385,,2.38733,1,CAM,2,11,2385
veh11,2429,,2.44958,1,CAM,1,11,2429
veh11,2507,,2.50958,1,CAM,9,11,2507
veh11,2519,,2.52858,1,CAM,5,11,2519
veh11,2585,,2.58733,1,CAM,2,11,2585
veh11,2599,,2.60383,1,CAM,8,11,2599
veh11,2629,,2.64958,1,CAM,1,11,2629
veh11,2707,,2.70958,1,CAM,9,11,2707
veh11,2711,2.71184,,0,CAM,11,,2711
veh11,2719,,2.72858,1,CAM,5,11,2719
veh11,2715,,2.72983,1,CAM,7,11,2715
veh11,2771,,2.78483,1,CAM,14,11,2771
veh11,2785,,2.78733,1,CAM,2,11,2785
veh11,2799,,2.82983,1,CAM,8,11,2799
veh11,2907,,2.90958,1,CAM,9,11,2907
veh11,2911,2.91184,,0,CAM,11,,2911
veh11,2915,,2.92008,1,CAM,7,11,2915
veh11,2919,,2.92858,1,CAM,5,11,2919
veh11,2971,,2.98483,1,CAM,14,11,2971
veh11,2985,,2.99183,1,CAM,2,11,2985
veh11,2999,,3.02983,1,CAM,8,11,2999
veh11,3111,3.11184,,0,CAM,11,,3111
veh11,3107,,3.12233,1,CAM,9,11,3107
veh11,3119,,3.12858,1,CAM,5,11,3119
veh11,3169,,3.17558,1,CAM,4,11,3169
veh11,3171,,3.18483,1,CAM,14,11,3171
veh11,3185,,3.19183,1,CAM,2,11,3185
veh11,3199,,3.22983,1,CAM,8,11,3199
veh11,3229,,3.24033,1,CAM,1,11,3229
veh11,3311,3.31184,,0,CAM,11,,3311
veh11,3319,,3.32083,1,CAM,5,11,3319
veh11,3307,,3.32233,1,CAM,9,11,3307
veh11,3371,,3.38483,1,CAM,14,11,3371
veh11,3385,,3.39183,1,CAM,2,11,3385
veh11,3399,,3.42983,1,CAM,8,11,3399
veh11,3511,3.51184,,0,CAM,11,,3511
veh11,3519,,3.52083,1,CAM,5,11,3519
veh11,3507,,3.52233,1,CAM,9,11,3507
veh11,3571,,3.58483,1,CAM,14,11,3571
veh11,3585,,3.59183,1,CAM,2,11,3585
veh11,3599,,3.62983,1,CAM,8,11,3599
veh11,3711,3.71184,,0,CAM,11,,3711
veh11,3719,,3.72083,1,CAM,5,11,3719
veh11,3766,,3.78108,1,CAM,16,11,3766
veh11,3771,,3.78483,1,CAM,14,11,3771
veh11,3785,,3.80458,1,CAM,2,11,3785
veh11,3715,,3.81908,1,CAM,7,11,3715
veh11,3799,,3.82583,1,CAM,8,11,3799
veh11,3829,,3.84033,1,CAM,1,11,3829
veh11,3911,3.91184,,0,CAM,11,,3911
veh11,3915,,3.91908,1,CAM,7,11,3915
veh11,3966,,3.98108,1,CAM,16,11,3966
veh11,3971,,3.98483,1,CAM,14,11,3971
veh11,3969,,3.98858,1,CAM,4,11,3969
veh11,3985,,4.00458,1,CAM,2,11,3985
veh11,3999,,4.02583,1,CAM,8,11,3999
veh11,4111,4.11184,,0,CAM,11,,4111
veh11,4115,,4.11908,1,CAM,7,11,4115
veh11,4119,,4.13633,1,CAM,5,11,4119
veh11,4171,,4.17908,1,CAM,14,11,4171
veh11,4166,,4.18108,1,CAM,16,11,4166
veh11,4185,,4.20458,1,CAM,2,11,4185
veh11,4199,,4.22583,1,CAM,8,11,4199
veh11,4285,,4.30458,1,CAM,2,11,4285
veh11,4311,4.31184,,0,CAM,11,,4311
veh11,4315,,4.31758,1,CAM,7,11,4315
veh11,4366,,4.37433,1,CAM,16,11,4366
veh11,4371,,4.37908,1,CAM,14,11,4371
veh11,4385,,4.40458,1,CAM,2,11,4385
veh11,4399,,4.43058,1,CAM,8,11,4399
veh11,4429,,4.44033,1,CAM,1,11,4429
veh11,4485,,4.49658,1,CAM,2,11,4485
veh11,4511,4.51184,,0,CAM,11,,4511
veh11,4507,,4.51483,1,CAM,9,11,4507
veh11,4515,,4.51758,1,CAM,7,11,4515
veh11,4519,,4.53633,1,CAM,5,11,4519
veh11,4566,,4.57433,1,CAM,16,11,4566
veh11,4571,,4.57908,1,CAM,14,11,4571
veh11,4585,,4.59658,1,CAM,2,11,4585
veh11,4599,,4.63058,1,CAM,8,11,4599
veh11,4685,,4.69658,1,CAM,2,11,4685
veh11,4711,4.71184,,0,CAM,11,,4711
veh11,4715,,4.71758,1,CAM,7,11,4715
veh11,4766,,4.77433,1,CAM,16,11,4766
veh11,4771,,4.77908,1,CAM,14,11,4771
veh11,4769,,4.78233,1,CAM,4,11,4769
veh11,4775,,4.78283,1,CAM,17,11,4775
veh11,4785,,4.79658,1,CAM,2,11,4785
veh11,4820,,4.82333,1,CAM,15,11,4820
veh11,4799,,4.83058,1,CAM,8,11,4799
veh11,4885,,4.89658,1,CAM,2,11,4885
