vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh17,3838,,3.84033,1,CAM,11,17,3838
veh17,3827,,3.84358,1,CAM,10,17,3827
veh17,3847,,3.85308,1,CAM,15,17,3847
veh17,3855,,3.86908,1,CAM,6,17,3855
veh17,3869,,3.88308,1,CAM,5,17,3869
veh17,3885,,3.89108,1,CAM,9,17,3885
veh17,3898,,3.90583,1,CAM,3,17,3898
veh17,3928,,3.93358,1,CAM,8,17,3928
veh17,3975,,3.98483,1,CAM,13,17,3975
veh17,3978,,3.99008,1,CAM,4,17,3978
veh17,3973,,3.99208,1,CAM,12,17,3973
veh17,4011,,4.01708,1,CAM,16,17,4011
veh17,4038,,4.04033,1,CAM,11,17,4038
veh17,4027,,4.04358,1,CAM,10,17,4027
veh17,4047,,4.05308,1,CAM,15,17,4047
veh17,4069,,4.08308,1,CAM,5,17,4069
veh17,4085,,4.09108,1,CAM,9,17,4085
veh17,4128,,4.13358,1,CAM,8,17,4128
veh17,4175,,4.17808,1,CAM,13,17,4175
veh17,4173,,4.19208,1,CAM,12,17,4173
veh17,4211,,4.21708,1,CAM,16,17,4211
veh17,4238,,4.24033,1,CAM,11,17,4238
veh17,4227,,4.24358,1,CAM,10,17,4227
veh17,4247,,4.25333,1,CAM,15,17,4247
veh17,4269,,4.28483,1,CAM,5,17,4269
veh17,4285,,4.29108,1,CAM,9,17,4285
veh17,4328,,4.33358,1,CAM,8,17,4328
veh17,4355,,4.36908,1,CAM,6,17,4355
veh17,4375,,4.37808,1,CAM,13,17,4375
veh17,4373,,4.39208,1,CAM,12,17,4373
veh17,4411,,4.41708,1,CAM,16,17,4411
veh17,4427,,4.44358,1,CAM,10,17,4427
veh17,4447,,4.45333,1,CAM,15,17,4447
veh17,4438,,4.45633,1,CAM,11,17,4438
veh17,4485,,4.49108,1,CAM,9,17,4485
veh17,4499,,4.50558,1,CAM,18,17,4499
veh17,4498,,4.50758,1,CAM,3,17,4498
veh17,4528,,4.53358,1,CAM,8,17,4528
veh17,4575,,4.57808,1,CAM,13,17,4575
veh17,4573,,4.59208,1,CAM,12,17,4573
veh17,4611,,4.61708,1,CAM,16,17,4611
veh17,4636,4.63673,,0,CAM,17,,4636
veh17,4627,,4.63983,1,CAM,10,17,4627
veh17,4647,,4.65333,1,CAM,15,17,4647
veh17,4638,,4.65633,1,CAM,11,17,4638
veh17,4669,,4.68483,1,CAM,5,17,4669
veh17,4685,,4.70558,1,CAM,9,17,4685
veh17,4699,,4.70558,1,CAM,18,17,4699
veh17,4728,,4.73358,1,CAM,8,17,4728
veh17,4775,,4.77808,1,CAM,13,17,4775
veh17,4778,,4.79133,1,CAM,4,17,4778
veh17,4811,,4.81708,1,CAM,16,17,4811
veh17,4836,4.83673,,0,CAM,17,,4836
veh17,4847,,4.85333,1,CAM,15,17,4847
veh17,4838,,4.85633,1,CAM,11,17,4838
veh17,4855,,4.86283,1,CAM,6,17,4855
veh17,4899,,4.90458,1,CAM,18,17,4899
veh17,4928,,4.93058,1,CAM,8,17,4928
veh17,4951,,4.96183,1,CAM,19,17,4951
veh17,4975,,4.97808,1,CAM,13,17,4975
veh17,5011,,5.01708,1,CAM,16,17,5011
veh17,5036,5.03673,,0,CAM,17,,5036
veh17,5047,,5.05333,1,CAM,15,17,5047
veh17,5038,,5.05808,1,CAM,11,17,5038
veh17,5069,,5.08208,1,CAM,5,17,5069
veh17,5099,,5.10458,1,CAM,18,17,5099
veh17,5098,,5.10758,1,CAM,3,17,5098
veh17,5128,,5.13058,1,CAM,8,17,5128
veh17,5151,,5.16183,1,CAM,19,17,5151
veh17,5175,,5.17808,1,CAM,13,17,5175
veh17,5173,,5.18433,1,CAM,12,17,5173
veh17,5211,,5.22783,1,CAM,16,17,5211
veh17,5236,5.23673,,0,CAM,17,,5236
veh17,5227,,5.23983,1,CAM,10,17,5227
veh17,5247,,5.25333,1,CAM,15,17,5247
veh17,5238,,5.25808,1,CAM,11,17,5238
veh17,5299,,5.30458,1,CAM,18,17,5299
veh17,5285,,5.30558,1,CAM,9,17,5285
veh17,5328,,5.34358,1,CAM,8,17,5328
veh17,5355,,5.36133,1,CAM,6,17,5355
veh17,5351,,5.36183,1,CAM,19,17,5351
veh17,5375,,5.37808,1,CAM,13,17,5375
veh17,5436,5.43673,,0,CAM,17,,5436
veh17,5447,,5.45708,1,CAM,15,17,5447
veh17,5438,,5.45808,1,CAM,11,17,5438
veh17,5469,,5.48208,1,CAM,5,17,5469
veh17,5499,,5.50458,1,CAM,18,17,5499
veh17,5528,,5.54358,1,CAM,8,17,5528
veh17,5575,,5.57783,1,CAM,13,17,5575
veh17,5578,,5.58533,1,CAM,4,17,5578
veh17,5636,5.63673,,0,CAM,17,,5636
veh17,5647,,5.65708,1,CAM,15,17,5647
veh17,5698,,5.70583,1,CAM,3,17,5698
veh17,5699,,5.71708,1,CAM,18,17,5699
veh17,5728,,5.74358,1,CAM,8,17,5728
veh17,5751,,5.76458,1,CAM,19,17,5751
veh17,5775,,5.77783,1,CAM,13,17,5775
veh17,5773,,5.78883,1,CAM,12,17,5773
veh17,5836,5.83673,,0,CAM,17,,5836
veh17,5827,,5.83983,1,CAM,10,17,5827
veh17,5847,,5.85708,1,CAM,15,17,5847
veh17,5855,,5.86133,1,CAM,6,17,5855
veh17,5869,,5.87558,1,CAM,5,17,5869
veh17,5885,,5.90233,1,CAM,9,17,5885
veh17,5899,,5.91708,1,CAM,18,17,5899
veh17,5911,,5.92408,1,CAM,16,17,5911
veh17,5938,,5.94058,1,CAM,11,17,5938
veh17,5928,,5.94358,1,CAM,8,17,5928
veh17,5951,,5.96458,1,CAM,19,17,5951
veh17,5975,,5.97783,1,CAM,13,17,5975
veh17,6036,6.03673,,0,CAM,17,,6036
veh17,6099,,6.11708,1,CAM,18,17,6099
veh17,6128,,6.14358,1,CAM,8,17,6128
veh17,6151,,6.15958,1,CAM,19,17,6151
veh17,6236,6.23673,,0,CAM,17,,6236
veh17,6269,,6.27558,1,CAM,5,17,6269
veh17,6298,,6.30583,1,CAM,3,17,6298
veh17,6299,,6.31633,1,CAM,18,17,6299
veh17,6328,,6.34358,1,CAM,8,17,6328
veh17,6355,,6.35658,1,CAM,6,17,6355
veh17,6351,,6.35958,1,CAM,19,17,6351
veh17,6378,,6.38758,1,CAM,4,17,6378
veh17,6373,,6.38883,1,CAM,12,17,6373
veh17,6436,6.43673,,0,CAM,17,,6436
veh17,6427,,6.44333,1,CAM,10,17,6427
veh17,6438,,6.45883,1,CAM,11,17,6438
veh17,6475,,6.49283,1,CAM,13,17,6475
veh17,6485,,6.50233,1,CAM,9,17,6485
veh17,6499,,6.51633,1,CAM,18,17,6499
veh17,6528,,6.54358,1,CAM,8,17,6528
veh17,6547,,6.55708,1,CAM,15,17,6547
veh17,6551,,6.55958,1,CAM,19,17,6551
veh17,6578,,6.58758,1,CAM,4,17,6578
veh17,6611,,6.62058,1,CAM,16,17,6611
veh17,6636,6.63673,,0,CAM,17,,6636
veh17,6669,,6.67558,1,CAM,5,17,6669
veh17,6678,,6.68758,1,CAM,4,17,6678
veh17,6699,,6.71633,1,CAM,18,17,6699
veh17,6728,,6.74608,1,CAM,8,17,6728
veh17,6751,,6.75958,1,CAM,19,17,6751
veh17,6778,,6.78758,1,CAM,4,17,6778
veh17,6836,6.83673,,0,CAM,17,,6836
veh17,6855,,6.85733,1,CAM,6,17,6855
veh17,6878,,6.88758,1,CAM,4,17,6878
veh17,6898,,6.90258,1,CAM,3,17,6898
veh17,6899,,6.91633,1,CAM,18,17,6899
veh17,6928,,6.94608,1,CAM,8,17,6928
veh17,6938,,6.95883,1,CAM,11,17,6938
veh17,6951,,6.96808,1,CAM,19,17,6951
veh17,6978,,6.98758,1,CAM,4,17,6978
veh17,6973,,6.98883,1,CAM,12,17,6973
veh17,6975,,6.99283,1,CAM,13,17,6975
veh17,7036,7.03673,,0,CAM,17,,7036
veh17,7027,,7.04333,1,CAM,10,17,7027
veh17,7069,,7.07558,1,CAM,5,17,7069
veh17,7078,,7.08758,1,CAM,4,17,7078
veh17,7085,,7.09558,1,CAM,9,17,7085
veh17,7099,,7.11633,1,CAM,18,17,7099
veh17,7128,,7.14608,1,CAM,8,17,7128
veh17,7151,,7.16808,1,CAM,19,17,7151
veh17,7178,,7.18758,1,CAM,4,17,7178
veh17,7236,7.23673,,0,CAM,17,,7236
veh17,7247,,7.26608,1,CAM,15,17,7247
veh17,7278,,7.28758,1,CAM,4,17,7278
veh17,7285,,7.29558,1,CAM,9,17,7285
veh17,7299,,7.31633,1,CAM,18,17,7299
veh17,7311,,7.32058,1,CAM,16,17,7311
veh17,7328,,7.34608,1,CAM,8,17,7328
veh17,7355,,7.35733,1,CAM,6,17,7355
veh17,7378,,7.38758,1,CAM,4,17,7378
veh17,7385,,7.39558,1,CAM,9,17,7385
veh17,7436,7.43673,,0,CAM,17,,7436
veh17,7438,,7.45883,1,CAM,11,17,7438
veh17,7469,,7.47608,1,CAM,5,17,7469
veh17,7478,,7.48758,1,CAM,4,17,7478
veh17,7475,,7.49558,1,CAM,13,17,7475
veh17,7485,,7.49558,1,CAM,9,17,7485
veh17,7498,,7.50258,1,CAM,3,17,7498
veh17,7499,,7.51633,1,CAM,18,17,7499
veh17,7527,,7.53733,1,CAM,10,17,7527
veh17,7528,,7.54608,1,CAM,8,17,7528
veh17,7578,,7.58258,1,CAM,4,17,7578
veh17,7573,,7.58483,1,CAM,12,17,7573
veh17,7585,,7.58933,1,CAM,9,17,7585
veh17,7636,7.63673,,0,CAM,17,,7636
veh17,7627,,7.63733,1,CAM,10,17,7627
veh17,7678,,7.68258,1,CAM,4,17,7678
veh17,7685,,7.68933,1,CAM,9,17,7685
veh17,7699,,7.71633,1,CAM,18,17,7699
veh17,7727,,7.73733,1,CAM,10,17,7727
veh17,7728,,7.74608,1,CAM,8,17,7728
veh17,7751,,7.75483,1,CAM,19,17,7751
veh17,7785,,7.78933,1,CAM,9,17,7785
veh17,7836,7.83673,,0,CAM,17,,7836
veh17,7827,,7.83733,1,CAM,10,17,7827
veh17,7855,,7.85733,1,CAM,6,17,7855
veh17,7869,,7.87608,1,CAM,5,17,7869
veh17,7885,,7.88933,1,CAM,9,17,7885
