vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh6,1152,1.15201,,0,CAM,6,,1152,-1
veh6,1352,1.35201,,0,CAM,6,,1352,-1
veh6,1452,1.45201,,0,CAM,6,,1452,-1
veh6,1552,1.55201,,0,CAM,6,,1552,-1
veh6,1652,1.65201,,0,CAM,6,,1652,-1
veh6,1752,1.75201,,0,CAM,6,,1752,-1
veh6,1852,1.85201,,0,CAM,6,,1852,-1
veh6,1952,1.95201,,0,CAM,6,,1952,-1
veh6,2007,,2.01608,1,CAM,5,6,2007,-1
veh6,2019,,2.02333,1,CAM,4,6,2019,-1
veh6,2052,2.05201,,0,CAM,6,,2052,-1
veh6,2050,,2.06358,1,CAM,9,6,2050,-1
veh6,2131,,2.13408,1,CAM,8,6,2131,-1
veh6,2133,,2.14283,1,CAM,3,6,2133,-1
veh6,2142,,2.14908,1,CAM,7,6,2142,-1
veh6,2152,2.15201,,0,CAM,6,,2152,-1
veh6,2179,,2.19008,1,CAM,10,6,2179,-1
veh6,2196,,2.21233,1,CAM,2,6,2196,-1
veh6,2207,,2.21608,1,CAM,5,6,2207,-1
veh6,2219,,2.22333,1,CAM,4,6,2219,-1
veh6,2250,,2.25458,1,CAM,9,6,2250,-1
veh6,2331,,2.33408,1,CAM,8,6,2331,-1
veh6,2333,,2.34283,1,CAM,3,6,2333,-1
veh6,2342,,2.34908,1,CAM,7,6,2342,-1
veh6,2352,2.35201,,0,CAM,6,,2352,-1
veh6,2379,,2.39008,1,CAM,10,6,2379,-1
veh6,2396,,2.41233,1,CAM,2,6,2396,-1
veh6,2407,,2.41608,1,CAM,5,6,2407,-1
veh6,2419,,2.42333,1,CAM,4,6,2419,-1
veh6,2450,,2.45458,1,CAM,9,6,2450,-1
veh6,2531,,2.53408,1,CAM,8,6,2531,-1
veh6,2533,,2.54283,1,CAM,3,6,2533,-1
veh6,2552,2.55201,,0,CAM,6,,2552,-1
veh6,2579,,2.59008,1,CAM,10,6,2579,-1
veh6,2596,,2.61233,1,CAM,2,6,2596,-1
veh6,2607,,2.61608,1,CAM,5,6,2607,-1
veh6,2598,,2.61733,1,CAM,11,6,2598,-1
veh6,2619,,2.62333,1,CAM,4,6,2619,-1
veh6,2633,,2.64733,1,CAM,3,6,2633,-1
veh6,2707,,2.71608,1,CAM,5,6,2707,-1
veh6,2698,,2.71733,1,CAM,11,6,2698,-1
veh6,2731,,2.73408,1,CAM,8,6,2731,-1
veh6,2733,,2.74733,1,CAM,3,6,2733,-1
veh6,2752,2.75201,,0,CAM,6,,2752,-1
veh6,2650,,2.75458,1,CAM,9,6,2650,-1
veh6,2750,,2.75458,1,CAM,9,6,2750,-1
veh6,2779,,2.79008,1,CAM,10,6,2779,-1
veh6,2796,,2.80308,1,CAM,2,6,2796,-1
veh6,2807,,2.81608,1,CAM,5,6,2807,-1
veh6,2798,,2.81733,1,CAM,11,6,2798,-1
veh6,2819,,2.83633,1,CAM,4,6,2819,-1
veh6,2833,,2.84733,1,CAM,3,6,2833,-1
veh6,2850,,2.85458,1,CAM,9,6,2850,-1
veh6,2742,,2.85483,1,CAM,7,6,2742,-1
veh6,2907,,2.91608,1,CAM,5,6,2907,-1
veh6,2898,,2.91733,1,CAM,11,6,2898,-1
veh6,2931,,2.93408,1,CAM,8,6,2931,-1
veh6,2933,,2.94733,1,CAM,3,6,2933,-1
veh6,2952,2.95201,,0,CAM,6,,2952,-1
veh6,2942,,2.95483,1,CAM,7,6,2942,-1
veh6,3001,,3.00283,1,CAM,12,6,3001,-1
veh6,2996,,3.00308,1,CAM,2,6,2996,-1
veh6,3007,,3.01608,1,CAM,5,6,3007,-1
veh6,2998,,3.01733,1,CAM,11,6,2998,-1
veh6,3019,,3.03633,1,CAM,4,6,3019,-1
veh6,3033,,3.04733,1,CAM,3,6,3033,-1
veh6,3050,,3.05458,1,CAM,9,6,3050,-1
veh6,3079,,3.09008,1,CAM,10,6,3079,-1
veh6,3107,,3.11608,1,CAM,5,6,3107,-1
veh6,3098,,3.11733,1,CAM,11,6,3098,-1
veh6,3131,,3.13408,1,CAM,8,6,3131,-1
veh6,3133,,3.14733,1,CAM,3,6,3133,-1
veh6,3152,3.15201,,0,CAM,6,,3152,-1
veh6,3142,,3.15483,1,CAM,7,6,3142,-1
veh6,3196,,3.20308,1,CAM,2,6,3196,-1
veh6,3207,,3.20833,1,CAM,5,6,3207,-1
veh6,3219,,3.23633,1,CAM,4,6,3219,-1
veh6,3233,,3.24733,1,CAM,3,6,3233,-1
veh6,3242,,3.25383,1,CAM,7,6,3242,-1
veh6,3250,,3.25458,1,CAM,9,6,3250,-1
veh6,3279,,3.28758,1,CAM,10,6,3279,-1
veh6,3301,,3.30283,1,CAM,12,6,3301,-1
veh6,3307,,3.30833,1,CAM,5,6,3307,-1
veh6,3333,,3.34733,1,CAM,3,6,3333,-1
veh6,3331,,3.34958,1,CAM,8,6,3331,-1
veh6,3352,3.35201,,0,CAM,6,,3352,-1
veh6,3342,,3.35383,1,CAM,7,6,3342,-1
veh6,3379,,3.38758,1,CAM,10,6,3379,-1
veh6,3396,,3.40308,1,CAM,2,6,3396,-1
