vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh4,219,0.219323,,0,CAM,4,,219,-1
veh4,419,0.419323,,0,CAM,4,,419,-1
veh4,619,0.619323,,0,CAM,4,,619,-1
veh4,819,0.819323,,0,CAM,4,,819,-1
veh4,1019,1.01932,,0,CAM,4,,1019,-1
veh4,1219,1.21932,,0,CAM,4,,1219,-1
veh4,1419,1.41932,,0,CAM,4,,1419,-1
veh4,1619,1.61932,,0,CAM,4,,1619,-1
veh4,1819,1.81932,,0,CAM,4,,1819,-1
veh4,2007,,2.01608,1,CAM,5,4,2007,-1
veh4,2019,2.01932,,0,CAM,4,,2019,-1
veh4,2052,,2.05458,1,CAM,6,4,2052,-1
veh4,2050,,2.06358,1,CAM,9,4,2050,-1
veh4,2131,,2.13408,1,CAM,8,4,2131,-1
veh4,2133,,2.14283,1,CAM,3,4,2133,-1
veh4,2142,,2.14908,1,CAM,7,4,2142,-1
veh4,2152,,2.15458,1,CAM,6,4,2152,-1
veh4,2179,,2.19008,1,CAM,10,4,2179,-1
veh4,2196,,2.21233,1,CAM,2,4,2196,-1
veh4,2207,,2.21608,1,CAM,5,4,2207,-1
veh4,2219,2.21932,,0,CAM,4,,2219,-1
veh4,2250,,2.25458,1,CAM,9,4,2250,-1
veh4,2331,,2.33408,1,CAM,8,4,2331,-1
veh4,2333,,2.34283,1,CAM,3,4,2333,-1
veh4,2342,,2.34908,1,CAM,7,4,2342,-1
veh4,2352,,2.35458,1,CAM,6,4,2352,-1
veh4,2379,,2.39008,1,CAM,10,4,2379,-1
veh4,2396,,2.41233,1,CAM,2,4,2396,-1
veh4,2407,,2.41608,1,CAM,5,4,2407,-1
veh4,2419,2.41932,,0,CAM,4,,2419,-1
veh4,2533,,2.54283,1,CAM,3,4,2533,-1
veh4,2450,,2.55458,1,CAM,9,4,2450,-1
veh4,2552,,2.55458,1,CAM,6,4,2552,-1
veh4,2579,,2.59008,1,CAM,10,4,2579,-1
veh4,2596,,2.61233,1,CAM,2,4,2596,-1
veh4,2607,,2.61608,1,CAM,5,4,2607,-1
veh4,2598,,2.61733,1,CAM,11,4,2598,-1
veh4,2619,2.61932,,0,CAM,4,,2619,-1
veh4,2633,,2.64733,1,CAM,3,4,2633,-1
veh4,2707,,2.71608,1,CAM,5,4,2707,-1
veh4,2698,,2.71733,1,CAM,11,4,2698,-1
veh4,2733,,2.74733,1,CAM,3,4,2733,-1
veh4,2752,,2.76733,1,CAM,6,4,2752,-1
veh4,2779,,2.79008,1,CAM,10,4,2779,-1
veh4,2796,,2.80308,1,CAM,2,4,2796,-1
veh4,2807,,2.81608,1,CAM,5,4,2807,-1
veh4,2798,,2.81733,1,CAM,11,4,2798,-1
veh4,2819,2.81932,,0,CAM,4,,2819,-1
veh4,2833,,2.84733,1,CAM,3,4,2833,-1
veh4,2742,,2.85483,1,CAM,7,4,2742,-1
veh4,2907,,2.91608,1,CAM,5,4,2907,-1
