pkt_uid,drop_time_s,drop_type,msg_seq,tx_id,rx_id,decision_time_s,decision_event_type,lane_before,lane_after,target_speed_mps,vehicle_id,decision_delay_s,lane_change
95,2.00858,CAM_DROP_PHY,2006,1,10.0,2.00858,cam_drop_reaction,0,0,3.47,veh10,0.0,False
95,2.00858,CAM_DROP_PHY,2006,1,12.0,2.00858,cam_drop_reaction,0,0,3.47,veh12,0.0,False
95,2.00858,CAM_DROP_PHY,2006,1,4.0,2.00858,cam_drop_reaction,0,0,2.775,veh4,0.0,False
95,2.00858,CAM_DROP_PHY,2006,1,8.0,2.00858,cam_drop_reaction,0,0,8.33,veh8,0.0,False
94,2.01383,CPM_DROP_PHY,2006,2,10.0,2.01383,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
94,2.01383,CPM_DROP_PHY,2006,2,12.0,2.01383,drop_decision_no_action,-1,-1,-1.0,veh12,0.0,False
94,2.01383,CPM_DROP_PHY,2006,2,3.0,2.01383,cpm_drop_reaction,0,0,3.47,veh3,0.0,False
94,2.01383,CPM_DROP_PHY,2006,2,4.0,2.01383,drop_decision_no_action,-1,-1,-1.0,veh4,0.0,False
94,2.01383,CPM_DROP_PHY,2006,2,6.0,2.01383,cpm_drop_reaction,0,0,4.165,veh6,0.0,False
94,2.01383,CPM_DROP_PHY,2006,2,9.0,2.01383,cpm_drop_reaction,0,0,3.47,veh9,0.0,False
108,2.02758,CAM_DROP_PHY,2023,3,12.0,2.02758,drop_decision_no_action,-1,-1,-1.0,veh12,0.0,False
108,2.02758,CAM_DROP_PHY,2023,3,5.0,2.02758,cam_drop_reaction,0,0,5.555,veh5,0.0,False
124,2.04758,CPM_DROP_PHY,2041,3,10.0,2.04758,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
124,2.04758,CPM_DROP_PHY,2041,3,12.0,2.04758,drop_decision_no_action,-1,-1,-1.0,veh12,0.0,False
124,2.04758,CPM_DROP_PHY,2041,3,2.0,2.04758,drop_decision_no_action,-1,-1,-1.0,veh2,0.0,False
124,2.04758,CPM_DROP_PHY,2041,3,5.0,2.04758,drop_decision_no_action,-1,-1,-1.0,veh5,0.0,False
123,2.05383,CAM_DROP_PHY,2041,2,10.0,2.05383,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
123,2.05383,CAM_DROP_PHY,2041,2,12.0,2.05383,drop_decision_no_action,-1,-1,-1.0,veh12,0.0,False
123,2.05383,CAM_DROP_PHY,2041,2,3.0,2.05383,drop_decision_no_action,-1,-1,-1.0,veh3,0.0,False
123,2.05383,CAM_DROP_PHY,2041,2,4.0,2.05383,drop_decision_no_action,-1,-1,-1.0,veh4,0.0,False
123,2.05383,CAM_DROP_PHY,2041,2,5.0,2.05383,drop_decision_no_action,-1,-1,-1.0,veh5,0.0,False
123,2.05383,CAM_DROP_PHY,2041,2,6.0,2.05383,drop_decision_no_action,-1,-1,-1.0,veh6,0.0,False
123,2.05383,CAM_DROP_PHY,2041,2,8.0,2.05383,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
139,2.06233,CPM_DROP_PHY,2059,5,10.0,2.06233,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
139,2.06233,CPM_DROP_PHY,2059,5,12.0,2.06233,drop_decision_no_action,-1,-1,-1.0,veh12,0.0,False
139,2.06233,CPM_DROP_PHY,2059,5,2.0,2.06233,drop_decision_no_action,-1,-1,-1.0,veh2,0.0,False
139,2.06233,CPM_DROP_PHY,2059,5,4.0,2.06233,drop_decision_no_action,-1,-1,-1.0,veh4,0.0,False
139,2.06233,CPM_DROP_PHY,2059,5,9.0,2.06233,drop_decision_no_action,-1,-1,-1.0,veh9,0.0,False
135,2.06658,CPM_DROP_PHY,2057,4,10.0,2.06658,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
135,2.06658,CPM_DROP_PHY,2057,4,2.0,2.06658,drop_decision_no_action,-1,-1,-1.0,veh2,0.0,False
135,2.06658,CPM_DROP_PHY,2057,4,8.0,2.06658,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
164,2.08858,CPM_DROP_PHY,2083,1,10.0,2.08858,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
164,2.08858,CPM_DROP_PHY,2083,1,2.0,2.08858,drop_decision_no_action,-1,-1,-1.0,veh2,0.0,False
164,2.08858,CPM_DROP_PHY,2083,1,3.0,2.08858,drop_decision_no_action,-1,-1,-1.0,veh3,0.0,False
164,2.08858,CPM_DROP_PHY,2083,1,8.0,2.08858,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
165,2.09408,CPM_DROP_PHY,2085,6,10.0,2.09408,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
165,2.09408,CPM_DROP_PHY,2085,6,2.0,2.09408,drop_decision_no_action,-1,-1,-1.0,veh2,0.0,False
165,2.09408,CPM_DROP_PHY,2085,6,5.0,2.09408,drop_decision_no_action,-1,-1,-1.0,veh5,0.0,False
165,2.09408,CPM_DROP_PHY,2085,6,8.0,2.09408,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
186,2.11383,CPM_DROP_PHY,2106,2,10.0,2.11383,cpm_drop_reaction,0,0,3.47,veh10,0.0,False
186,2.11383,CPM_DROP_PHY,2106,2,3.0,2.11383,cpm_drop_reaction,0,0,3.47,veh3,0.0,False
186,2.11383,CPM_DROP_PHY,2106,2,5.0,2.11383,drop_decision_no_action,-1,-1,-1.0,veh5,0.0,False
186,2.12508,CPM_DROP_PHY,2106,2,1.0,2.12508,cpm_drop_reaction,0,0,3.47,veh1,0.0,False
196,2.12758,CAM_DROP_PHY,2123,3,1.0,2.12758,drop_decision_no_action,-1,-1,-1.0,veh1,0.0,False
196,2.12758,CAM_DROP_PHY,2123,3,10.0,2.12758,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
196,2.12758,CAM_DROP_PHY,2123,3,2.0,2.12758,drop_decision_no_action,-1,-1,-1.0,veh2,0.0,False
196,2.12758,CAM_DROP_PHY,2123,3,5.0,2.12758,cam_drop_reaction,0,0,5.555,veh5,0.0,False
196,2.12758,CAM_DROP_PHY,2123,3,8.0,2.12758,cam_drop_reaction,0,0,8.33,veh8,0.0,False
208,2.14658,CAM_DROP_PHY,2134,4,1.0,2.14658,drop_decision_no_action,-1,-1,-1.0,veh1,0.0,False
208,2.14658,CAM_DROP_PHY,2134,4,12.0,2.14658,cam_drop_reaction,0,0,3.47,veh12,0.0,False
208,2.14658,CAM_DROP_PHY,2134,4,3.0,2.14658,drop_decision_no_action,-1,-1,-1.0,veh3,0.0,False
208,2.14658,CAM_DROP_PHY,2134,4,6.0,2.14658,cam_drop_reaction,0,0,4.165,veh6,0.0,False
208,2.14658,CAM_DROP_PHY,2134,4,8.0,2.14658,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
208,2.14658,CAM_DROP_PHY,2134,4,9.0,2.14658,cam_drop_reaction,0,0,3.47,veh9,0.0,False
215,2.14758,CPM_DROP_PHY,2141,3,1.0,2.14758,drop_decision_no_action,-1,-1,-1.0,veh1,0.0,False
215,2.14758,CPM_DROP_PHY,2141,3,10.0,2.14758,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
215,2.14758,CPM_DROP_PHY,2141,3,6.0,2.14758,drop_decision_no_action,-1,-1,-1.0,veh6,0.0,False
215,2.14758,CPM_DROP_PHY,2141,3,9.0,2.14758,drop_decision_no_action,-1,-1,-1.0,veh9,0.0,False
210,2.15408,CAM_DROP_PHY,2136,6,1.0,2.15408,drop_decision_no_action,-1,-1,-1.0,veh1,0.0,False
210,2.15408,CAM_DROP_PHY,2136,6,4.0,2.15408,cam_drop_reaction,0,0,2.775,veh4,0.0,False
210,2.15408,CAM_DROP_PHY,2136,6,5.0,2.15408,drop_decision_no_action,-1,-1,-1.0,veh5,0.0,False
210,2.15408,CAM_DROP_PHY,2136,6,8.0,2.15408,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
237,2.16658,CPM_DROP_PHY,2157,4,1.0,2.16658,drop_decision_no_action,-1,-1,-1.0,veh1,0.0,False
237,2.16658,CPM_DROP_PHY,2157,4,10.0,2.16658,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
237,2.16658,CPM_DROP_PHY,2157,4,8.0,2.16658,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
237,2.16658,CPM_DROP_PHY,2157,4,9.0,2.16658,drop_decision_no_action,-1,-1,-1.0,veh9,0.0,False
251,2.18233,CAM_DROP_PHY,2171,5,12.0,2.18233,drop_decision_no_action,-1,-1,-1.0,veh12,0.0,False
251,2.18233,CAM_DROP_PHY,2171,5,6.0,2.18233,drop_decision_no_action,-1,-1,-1.0,veh6,0.0,False
251,2.18233,CAM_DROP_PHY,2171,5,8.0,2.18233,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
251,2.18233,CAM_DROP_PHY,2171,5,9.0,2.18233,drop_decision_no_action,-1,-1,-1.0,veh9,0.0,False
261,2.18858,CPM_DROP_PHY,2183,1,12.0,2.18858,drop_decision_no_action,-1,-1,-1.0,veh12,0.0,False
261,2.18858,CPM_DROP_PHY,2183,1,4.0,2.18858,drop_decision_no_action,-1,-1,-1.0,veh4,0.0,False
261,2.18858,CPM_DROP_PHY,2183,1,5.0,2.18858,drop_decision_no_action,-1,-1,-1.0,veh5,0.0,False
261,2.18858,CPM_DROP_PHY,2183,1,6.0,2.18858,drop_decision_no_action,-1,-1,-1.0,veh6,0.0,False
261,2.18858,CPM_DROP_PHY,2183,1,9.0,2.18858,drop_decision_no_action,-1,-1,-1.0,veh9,0.0,False
272,2.19358,CAM_DROP_PHY,2191,9,10.0,2.19358,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
272,2.19358,CAM_DROP_PHY,2191,9,12.0,2.19358,drop_decision_no_action,-1,-1,-1.0,veh12,0.0,False
272,2.19358,CAM_DROP_PHY,2191,9,2.0,2.19358,drop_decision_no_action,-1,-1,-1.0,veh2,0.0,False
272,2.19358,CAM_DROP_PHY,2191,9,4.0,2.19358,drop_decision_no_action,-1,-1,-1.0,veh4,0.0,False
272,2.19358,CAM_DROP_PHY,2191,9,5.0,2.19358,drop_decision_no_action,-1,-1,-1.0,veh5,0.0,False
272,2.19358,CAM_DROP_PHY,2191,9,6.0,2.19358,drop_decision_no_action,-1,-1,-1.0,veh6,0.0,False
262,2.19408,CPM_DROP_PHY,2185,6,12.0,2.19408,drop_decision_no_action,-1,-1,-1.0,veh12,0.0,False
262,2.19408,CPM_DROP_PHY,2185,6,2.0,2.19408,drop_decision_no_action,-1,-1,-1.0,veh2,0.0,False
262,2.19858,CPM_DROP_PHY,2185,6,10.0,2.19858,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
262,2.19858,CPM_DROP_PHY,2185,6,3.0,2.19858,drop_decision_no_action,-1,-1,-1.0,veh3,0.0,False
262,2.19858,CPM_DROP_PHY,2185,6,8.0,2.19858,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
272,2.20683,CAM_DROP_PHY,2191,9,1.0,2.20683,drop_decision_no_action,-1,-1,-1.0,veh1,0.0,False
298,2.20858,CAM_DROP_PHY,2206,1,10.0,2.20858,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
298,2.20858,CAM_DROP_PHY,2206,1,3.0,2.20858,drop_decision_no_action,-1,-1,-1.0,veh3,0.0,False
298,2.20858,CAM_DROP_PHY,2206,1,5.0,2.20858,drop_decision_no_action,-1,-1,-1.0,veh5,0.0,False
294,2.21383,CPM_DROP_PHY,2206,2,12.0,2.21383,drop_decision_no_action,-1,-1,-1.0,veh12,0.0,False
294,2.21383,CPM_DROP_PHY,2206,2,5.0,2.21383,drop_decision_no_action,-1,-1,-1.0,veh5,0.0,False
294,2.21383,CPM_DROP_PHY,2206,2,6.0,2.21383,drop_decision_no_action,-1,-1,-1.0,veh6,0.0,False
294,2.22508,CPM_DROP_PHY,2206,2,1.0,2.22508,cpm_drop_reaction,0,0,3.47,veh1,0.0,False
316,2.22758,CAM_DROP_PHY,2223,3,1.0,2.22758,drop_decision_no_action,-1,-1,-1.0,veh1,0.0,False
316,2.22758,CAM_DROP_PHY,2223,3,10.0,2.22758,cam_drop_reaction,0,0,3.47,veh10,0.0,False
316,2.22758,CAM_DROP_PHY,2223,3,8.0,2.22758,cam_drop_reaction,0,0,8.33,veh8,0.0,False
316,2.22758,CAM_DROP_PHY,2223,3,9.0,2.22758,drop_decision_no_action,-1,-1,-1.0,veh9,0.0,False
335,2.24258,CAM_DROP_PHY,2238,10,1.0,2.24258,drop_decision_no_action,-1,-1,-1.0,veh1,0.0,False
335,2.24258,CAM_DROP_PHY,2238,10,3.0,2.24258,cam_drop_reaction,0,0,3.47,veh3,0.0,False
335,2.24258,CAM_DROP_PHY,2238,10,5.0,2.24258,cam_drop_reaction,0,0,5.555,veh5,0.0,False
335,2.24258,CAM_DROP_PHY,2238,10,6.0,2.24258,drop_decision_no_action,-1,-1,-1.0,veh6,0.0,False
335,2.24258,CAM_DROP_PHY,2238,10,9.0,2.24258,drop_decision_no_action,-1,-1,-1.0,veh9,0.0,False
329,2.24658,CAM_DROP_PHY,2234,4,1.0,2.24658,drop_decision_no_action,-1,-1,-1.0,veh1,0.0,False
329,2.24658,CAM_DROP_PHY,2234,4,8.0,2.24658,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
329,2.24658,CAM_DROP_PHY,2234,4,9.0,2.24658,cam_drop_reaction,0,0,3.47,veh9,0.0,False
338,2.24758,CPM_DROP_PHY,2241,3,5.0,2.24758,drop_decision_no_action,-1,-1,-1.0,veh5,0.0,False
338,2.24758,CPM_DROP_PHY,2241,3,9.0,2.24758,drop_decision_no_action,-1,-1,-1.0,veh9,0.0,False
337,2.25383,CAM_DROP_PHY,2241,2,10.0,2.25383,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
337,2.25383,CAM_DROP_PHY,2241,2,12.0,2.25383,cam_drop_reaction,0,0,3.47,veh12,0.0,False
337,2.25383,CAM_DROP_PHY,2241,2,5.0,2.25383,drop_decision_no_action,-1,-1,-1.0,veh5,0.0,False
337,2.25383,CAM_DROP_PHY,2241,2,6.0,2.25383,cam_drop_reaction,0,0,4.165,veh6,0.0,False
337,2.25383,CAM_DROP_PHY,2241,2,8.0,2.25383,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
337,2.25383,CAM_DROP_PHY,2241,2,9.0,2.25383,drop_decision_no_action,-1,-1,-1.0,veh9,0.0,False
331,2.25408,CAM_DROP_PHY,2236,6,10.0,2.25408,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
331,2.25408,CAM_DROP_PHY,2236,6,12.0,2.25408,drop_decision_no_action,-1,-1,-1.0,veh12,0.0,False
331,2.25408,CAM_DROP_PHY,2236,6,2.0,2.25408,drop_decision_no_action,-1,-1,-1.0,veh2,0.0,False
331,2.25408,CAM_DROP_PHY,2236,6,4.0,2.25408,cam_drop_reaction,0,0,2.775,veh4,0.0,False
331,2.25408,CAM_DROP_PHY,2236,6,5.0,2.25408,drop_decision_no_action,-1,-1,-1.0,veh5,0.0,False
338,2.25833,CPM_DROP_PHY,2241,3,10.0,2.25833,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
378,2.26233,CPM_DROP_PHY,2259,5,1.0,2.26233,drop_decision_no_action,-1,-1,-1.0,veh1,0.0,False
378,2.26233,CPM_DROP_PHY,2259,5,9.0,2.26233,drop_decision_no_action,-1,-1,-1.0,veh9,0.0,False
337,2.26508,CAM_DROP_PHY,2241,2,1.0,2.26508,drop_decision_no_action,-1,-1,-1.0,veh1,0.0,False
372,2.26658,CPM_DROP_PHY,2257,4,10.0,2.26658,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
372,2.26658,CPM_DROP_PHY,2257,4,12.0,2.26658,drop_decision_no_action,-1,-1,-1.0,veh12,0.0,False
372,2.26658,CPM_DROP_PHY,2257,4,6.0,2.26658,drop_decision_no_action,-1,-1,-1.0,veh6,0.0,False
372,2.26658,CPM_DROP_PHY,2257,4,9.0,2.26658,drop_decision_no_action,-1,-1,-1.0,veh9,0.0,False
408,2.28858,CPM_DROP_PHY,2283,1,4.0,2.28858,drop_decision_no_action,-1,-1,-1.0,veh4,0.0,False
408,2.28858,CPM_DROP_PHY,2283,1,8.0,2.28858,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
408,2.28858,CPM_DROP_PHY,2283,1,9.0,2.28858,drop_decision_no_action,-1,-1,-1.0,veh9,0.0,False
409,2.29408,CPM_DROP_PHY,2285,6,10.0,2.29408,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
409,2.29408,CPM_DROP_PHY,2285,6,3.0,2.29408,drop_decision_no_action,-1,-1,-1.0,veh3,0.0,False
409,2.29408,CPM_DROP_PHY,2285,6,8.0,2.29408,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
434,2.30858,CAM_DROP_PHY,2306,1,10.0,2.30858,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
434,2.30858,CAM_DROP_PHY,2306,1,3.0,2.30858,drop_decision_no_action,-1,-1,-1.0,veh3,0.0,False
434,2.30858,CAM_DROP_PHY,2306,1,4.0,2.30858,drop_decision_no_action,-1,-1,-1.0,veh4,0.0,False
434,2.30858,CAM_DROP_PHY,2306,1,5.0,2.30858,drop_decision_no_action,-1,-1,-1.0,veh5,0.0,False
432,2.31383,CPM_DROP_PHY,2306,2,10.0,2.31383,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
432,2.31383,CPM_DROP_PHY,2306,2,12.0,2.31383,drop_decision_no_action,-1,-1,-1.0,veh12,0.0,False
432,2.31383,CPM_DROP_PHY,2306,2,3.0,2.31383,drop_decision_no_action,-1,-1,-1.0,veh3,0.0,False
432,2.31383,CPM_DROP_PHY,2306,2,5.0,2.31383,drop_decision_no_action,-1,-1,-1.0,veh5,0.0,False
432,2.31383,CPM_DROP_PHY,2306,2,8.0,2.31383,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
452,2.32733,CAM_DROP_PHY,2323,12,1.0,2.32733,cam_drop_reaction,0,0,3.47,veh1,0.0,False
452,2.32733,CAM_DROP_PHY,2323,12,2.0,2.32733,drop_decision_no_action,-1,-1,-1.0,veh2,0.0,False
452,2.32733,CAM_DROP_PHY,2323,12,5.0,2.32733,drop_decision_no_action,-1,-1,-1.0,veh5,0.0,False
452,2.32733,CAM_DROP_PHY,2323,12,6.0,2.32733,drop_decision_no_action,-1,-1,-1.0,veh6,0.0,False
452,2.32733,CAM_DROP_PHY,2323,12,8.0,2.32733,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
453,2.32758,CAM_DROP_PHY,2323,3,1.0,2.32758,drop_decision_no_action,-1,-1,-1.0,veh1,0.0,False
453,2.32758,CAM_DROP_PHY,2323,3,2.0,2.32758,drop_decision_no_action,-1,-1,-1.0,veh2,0.0,False
453,2.32758,CAM_DROP_PHY,2323,3,8.0,2.32758,cam_drop_reaction,0,0,8.33,veh8,0.0,False
471,2.34658,CAM_DROP_PHY,2334,4,10.0,2.34658,cam_drop_reaction,0,0,3.47,veh10,0.0,False
471,2.34658,CAM_DROP_PHY,2334,4,12.0,2.34658,drop_decision_no_action,-1,-1,-1.0,veh12,0.0,False
471,2.34658,CAM_DROP_PHY,2334,4,6.0,2.34658,drop_decision_no_action,-1,-1,-1.0,veh6,0.0,False
471,2.34658,CAM_DROP_PHY,2334,4,8.0,2.34658,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
481,2.34758,CPM_DROP_PHY,2341,3,1.0,2.34758,drop_decision_no_action,-1,-1,-1.0,veh1,0.0,False
481,2.34758,CPM_DROP_PHY,2341,3,12.0,2.34758,drop_decision_no_action,-1,-1,-1.0,veh12,0.0,False
481,2.34758,CPM_DROP_PHY,2341,3,5.0,2.34758,cpm_drop_reaction,0,0,5.555,veh5,0.0,False
481,2.34758,CPM_DROP_PHY,2341,3,6.0,2.34758,drop_decision_no_action,-1,-1,-1.0,veh6,0.0,False
481,2.34758,CPM_DROP_PHY,2341,3,8.0,2.34758,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
481,2.34758,CPM_DROP_PHY,2341,3,9.0,2.34758,cpm_drop_reaction,0,0,3.47,veh9,0.0,False
475,2.35408,CAM_DROP_PHY,2336,6,1.0,2.35408,drop_decision_no_action,-1,-1,-1.0,veh1,0.0,False
475,2.35408,CAM_DROP_PHY,2336,6,2.0,2.35408,drop_decision_no_action,-1,-1,-1.0,veh2,0.0,False
475,2.35408,CAM_DROP_PHY,2336,6,3.0,2.35408,cam_drop_reaction,0,0,3.47,veh3,0.0,False
475,2.35408,CAM_DROP_PHY,2336,6,4.0,2.35408,cam_drop_reaction,0,0,2.775,veh4,0.0,False
512,2.36233,CPM_DROP_PHY,2359,5,2.0,2.36233,drop_decision_no_action,-1,-1,-1.0,veh2,0.0,False
512,2.36233,CPM_DROP_PHY,2359,5,4.0,2.36233,drop_decision_no_action,-1,-1,-1.0,veh4,0.0,False
512,2.36233,CPM_DROP_PHY,2359,5,9.0,2.36233,drop_decision_no_action,-1,-1,-1.0,veh9,0.0,False
506,2.36658,CPM_DROP_PHY,2357,4,10.0,2.36658,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
506,2.36658,CPM_DROP_PHY,2357,4,12.0,2.36658,cpm_drop_reaction,0,0,3.47,veh12,0.0,False
506,2.36658,CPM_DROP_PHY,2357,4,2.0,2.36658,drop_decision_no_action,-1,-1,-1.0,veh2,0.0,False
506,2.36658,CPM_DROP_PHY,2357,4,6.0,2.36658,cpm_drop_reaction,0,0,4.165,veh6,0.0,False
529,2.38233,CAM_DROP_PHY,2371,5,1.0,2.38233,drop_decision_no_action,-1,-1,-1.0,veh1,0.0,False
529,2.38233,CAM_DROP_PHY,2371,5,3.0,2.38233,drop_decision_no_action,-1,-1,-1.0,veh3,0.0,False
529,2.38233,CAM_DROP_PHY,2371,5,4.0,2.38233,drop_decision_no_action,-1,-1,-1.0,veh4,0.0,False
529,2.38233,CAM_DROP_PHY,2371,5,6.0,2.38233,drop_decision_no_action,-1,-1,-1.0,veh6,0.0,False
529,2.38233,CAM_DROP_PHY,2371,5,8.0,2.38233,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
542,2.38858,CPM_DROP_PHY,2383,1,10.0,2.38858,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
408,2.38858,CPM_DROP_PHY,2283,1,2.0,2.38858,drop_decision_no_action,-1,-1,-1.0,veh2,0.0,False
542,2.38858,CPM_DROP_PHY,2383,1,6.0,2.38858,drop_decision_no_action,-1,-1,-1.0,veh6,0.0,False
542,2.38858,CPM_DROP_PHY,2383,1,8.0,2.38858,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
554,2.39358,CAM_DROP_PHY,2391,9,10.0,2.39358,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
554,2.39358,CAM_DROP_PHY,2391,9,12.0,2.39358,drop_decision_no_action,-1,-1,-1.0,veh12,0.0,False
554,2.39358,CAM_DROP_PHY,2391,9,3.0,2.39358,drop_decision_no_action,-1,-1,-1.0,veh3,0.0,False
554,2.39358,CAM_DROP_PHY,2391,9,5.0,2.39358,drop_decision_no_action,-1,-1,-1.0,veh5,0.0,False
554,2.39358,CAM_DROP_PHY,2391,9,6.0,2.39358,drop_decision_no_action,-1,-1,-1.0,veh6,0.0,False
554,2.39358,CAM_DROP_PHY,2391,9,8.0,2.39358,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
543,2.39408,CPM_DROP_PHY,2385,6,1.0,2.39408,drop_decision_no_action,-1,-1,-1.0,veh1,0.0,False
543,2.39408,CPM_DROP_PHY,2385,6,9.0,2.39408,drop_decision_no_action,-1,-1,-1.0,veh9,0.0,False
543,2.39858,CPM_DROP_PHY,2385,6,3.0,2.39858,drop_decision_no_action,-1,-1,-1.0,veh3,0.0,False
543,2.39858,CPM_DROP_PHY,2385,6,4.0,2.39858,drop_decision_no_action,-1,-1,-1.0,veh4,0.0,False
581,2.40858,CAM_DROP_PHY,2406,1,10.0,2.40858,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
581,2.40858,CAM_DROP_PHY,2406,1,12.0,2.40858,drop_decision_no_action,-1,-1,-1.0,veh12,0.0,False
581,2.40858,CAM_DROP_PHY,2406,1,3.0,2.40858,drop_decision_no_action,-1,-1,-1.0,veh3,0.0,False
581,2.40858,CAM_DROP_PHY,2406,1,4.0,2.40858,drop_decision_no_action,-1,-1,-1.0,veh4,0.0,False
581,2.40858,CAM_DROP_PHY,2406,1,6.0,2.40858,drop_decision_no_action,-1,-1,-1.0,veh6,0.0,False
581,2.40858,CAM_DROP_PHY,2406,1,8.0,2.40858,drop_decision_no_action,-1,-1,-1.0,veh8,0.0,False
577,2.41383,CPM_DROP_PHY,2406,2,12.0,2.41383,drop_decision_no_action,-1,-1,-1.0,veh12,0.0,False
577,2.41383,CPM_DROP_PHY,2406,2,3.0,2.41383,drop_decision_no_action,-1,-1,-1.0,veh3,0.0,False
577,2.41383,CPM_DROP_PHY,2406,2,4.0,2.41383,drop_decision_no_action,-1,-1,-1.0,veh4,0.0,False
577,2.41383,CPM_DROP_PHY,2406,2,5.0,2.41383,drop_decision_no_action,-1,-1,-1.0,veh5,0.0,False
577,2.41383,CPM_DROP_PHY,2406,2,9.0,2.41383,drop_decision_no_action,-1,-1,-1.0,veh9,0.0,False
601,2.42758,CAM_DROP_PHY,2423,3,1.0,2.42758,cam_drop_reaction,0,0,3.47,veh1,0.0,False
601,2.42758,CAM_DROP_PHY,2423,3,10.0,2.42758,drop_decision_no_action,-1,-1,-1.0,veh10,0.0,False
601,2.42758,CAM_DROP_PHY,2423,3,2.0,2.42758,drop_decision_no_action,-1,-1,-1.0,veh2,0.0,False
601,2.42758,CAM_DROP_PHY,2423,3,6.0,2.42758,drop_decision_no_action,-1,-1,-1.0,veh6,0.0,False
601,2.42758,CAM_DROP_PHY,2423,3,9.0,2.42758,drop_decision_no_action,-1,-1,-1.0,veh9,0.0,False
621,2.44258,CAM_DROP_PHY,2438,10,1.0,2.44258,drop_decision_no_action,-1,-1,-1.0,veh1,0.0,False
621,2.44258,CAM_DROP_PHY,2438,10,12.0,2.44258,drop_decision_no_action,-1,-1,-1.0,veh12,0.0,False
621,2.44258,CAM_DROP_PHY,2438,10,2.0,2.44258,drop_decision_no_action,-1,-1,-1.0,veh2,0.0,False
621,2.44258,CAM_DROP_PHY,2438,10,5.0,2.44258,drop_decision_no_action,-1,-1,-1.0,veh5,0.0,False
621,2.44258,CAM_DROP_PHY,2438,10,6.0,2.44258,drop_decision_no_action,-1,-1,-1.0,veh6,0.0,False
621,2.44258,CAM_DROP_PHY,2438,10,8.0,2.44258,cam_drop_reaction,0,0,8.33,veh8,0.0,False
615,2.44658,CAM_DROP_PHY,2434,4,2.0,2.44658,drop_decision_no_action,-1,-1,-1.0,veh2,0.0,False
615,2.44658,CAM_DROP_PHY,2434,4,5.0,2.44658,drop_decision_no_action,-1,-1,-1.0,veh5,0.0,False
615,2.44658,CAM_DROP_PHY,2434,4,6.0,2.44658,drop_decision_no_action,-1,-1,-1.0,veh6,0.0,False
624,2.44758,CPM_DROP_PHY,2441,3,1.0,2.44758,drop_decision_no_action,-1,-1,-1.0,veh1,0.0,False
624,2.44758,CPM_DROP_PHY,2441,3,10.0,2.44758,cpm_drop_reaction,0,0,3.47,veh10,0.0,False
624,2.44758,CPM_DROP_PHY,2441,3,4.0,2.44758,drop_decision_no_action,-1,-1,-1.0,veh4,0.0,False
