vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh6,136,0.136417,,0,CAM,6,,136
veh6,336,0.336417,,0,CAM,6,,336
veh6,536,0.536417,,0,CAM,6,,536
veh6,736,0.736417,,0,CAM,6,,736
veh6,936,0.936417,,0,CAM,6,,936
veh6,1136,1.13642,,0,CAM,6,,1136
veh6,1336,1.33642,,0,CAM,6,,1336
veh6,1536,1.53642,,0,CAM,6,,1536
veh6,1736,1.73642,,0,CAM,6,,1736
veh6,1936,1.93642,,0,CAM,6,,1936
veh6,2006,,2.00858,1,CAM,1,6,2006
veh6,2023,,2.02758,1,CAM,3,6,2023
veh6,2041,,2.05383,1,CAM,2,6,2041
veh6,2136,2.13642,,0,CAM,6,,2136
veh6,2134,,2.14658,1,CAM,4,6,2134
veh6,2171,,2.18233,1,CAM,5,6,2171
veh6,2191,,2.19358,1,CAM,9,6,2191
veh6,2206,,2.20858,1,CAM,1,6,2206
veh6,2223,,2.22758,1,CAM,3,6,2223
veh6,2238,,2.24258,1,CAM,10,6,2238
veh6,2241,,2.25383,1,CAM,2,6,2241
veh6,2323,,2.32733,1,CAM,12,6,2323
veh6,2336,2.33642,,0,CAM,6,,2336
veh6,2334,,2.34658,1,CAM,4,6,2334
veh6,2371,,2.38233,1,CAM,5,6,2371
veh6,2391,,2.39358,1,CAM,9,6,2391
veh6,2406,,2.40858,1,CAM,1,6,2406
veh6,2423,,2.42758,1,CAM,3,6,2423
veh6,2438,,2.44258,1,CAM,10,6,2438
veh6,2441,,2.45383,1,CAM,2,6,2441
veh6,2512,,2.51583,1,CAM,8,6,2512
veh6,2523,,2.52733,1,CAM,12,6,2523
veh6,2536,2.53642,,0,CAM,6,,2536
veh6,2571,,2.58233,1,CAM,5,6,2571
veh6,2591,,2.59358,1,CAM,9,6,2591
veh6,2606,,2.60858,1,CAM,1,6,2606
veh6,2623,,2.62758,1,CAM,3,6,2623
veh6,2638,,2.64258,1,CAM,10,6,2638
veh6,2641,,2.65383,1,CAM,2,6,2641
veh6,2712,,2.71583,1,CAM,8,6,2712
veh6,2723,,2.72733,1,CAM,12,6,2723
veh6,2736,2.73642,,0,CAM,6,,2736
veh6,2771,,2.77508,1,CAM,5,6,2771
veh6,2791,,2.79358,1,CAM,9,6,2791
veh6,2806,,2.80858,1,CAM,1,6,2806
veh6,2823,,2.82758,1,CAM,3,6,2823
veh6,2831,,2.83333,1,CAM,16,6,2831
veh6,2838,,2.84258,1,CAM,10,6,2838
veh6,2841,,2.85383,1,CAM,2,6,2841
veh6,2912,,2.91583,1,CAM,8,6,2912
veh6,2923,,2.92733,1,CAM,12,6,2923
veh6,2936,2.93642,,0,CAM,6,,2936
