vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh5,764,0.764138,,0,CAM,5,,764
veh5,964,0.964138,,0,CAM,5,,964
veh5,1164,1.16414,,0,CAM,5,,1164
veh5,1364,1.36414,,0,CAM,5,,1364
veh5,1564,1.56414,,0,CAM,5,,1564
veh5,1764,1.76414,,0,CAM,5,,1764
veh5,1964,1.96414,,0,CAM,5,,1964
veh5,2006,,2.00858,1,CAM,1,5,2006
veh5,2024,,2.02858,1,CAM,12,5,2024
veh5,2023,,2.03258,1,CAM,4,5,2023
veh5,2024,,2.03308,1,CAM,6,5,2024
veh5,2080,,2.08833,1,CAM,2,5,2080
veh5,2097,,2.10158,1,CAM,3,5,2097
veh5,2109,,2.11158,1,CAM,8,5,2109
veh5,2164,2.16414,,0,CAM,5,,2164
veh5,2206,,2.20858,1,CAM,1,5,2206
veh5,2211,,2.21583,1,CAM,10,5,2211
veh5,2224,,2.22858,1,CAM,12,5,2224
veh5,2223,,2.23258,1,CAM,4,5,2223
veh5,2224,,2.23308,1,CAM,6,5,2224
veh5,2280,,2.28833,1,CAM,2,5,2280
veh5,2297,,2.30158,1,CAM,3,5,2297
veh5,2309,,2.31158,1,CAM,8,5,2309
veh5,2364,2.36414,,0,CAM,5,,2364
veh5,2406,,2.40858,1,CAM,1,5,2406
veh5,2411,,2.41583,1,CAM,10,5,2411
veh5,2424,,2.42858,1,CAM,12,5,2424
veh5,2424,,2.43308,1,CAM,6,5,2424
veh5,2480,,2.48833,1,CAM,2,5,2480
veh5,2497,,2.50158,1,CAM,3,5,2497
veh5,2509,,2.51158,1,CAM,8,5,2509
veh5,2564,2.56414,,0,CAM,5,,2564
veh5,2606,,2.60858,1,CAM,1,5,2606
veh5,2611,,2.61583,1,CAM,10,5,2611
veh5,2624,,2.62858,1,CAM,12,5,2624
veh5,2624,,2.64333,1,CAM,6,5,2624
veh5,2680,,2.68833,1,CAM,2,5,2680
veh5,2697,,2.70158,1,CAM,3,5,2697
veh5,2709,,2.71158,1,CAM,8,5,2709
veh5,2764,2.76414,,0,CAM,5,,2764
veh5,2806,,2.80858,1,CAM,1,5,2806
veh5,2811,,2.81583,1,CAM,10,5,2811
veh5,2824,,2.82858,1,CAM,12,5,2824
veh5,2824,,2.84333,1,CAM,6,5,2824
veh5,2880,,2.88833,1,CAM,2,5,2880
veh5,2895,,2.90333,1,CAM,13,5,2895
veh5,2909,,2.91158,1,CAM,8,5,2909
veh5,2911,,2.91433,1,CAM,7,5,2911
veh5,2964,2.96414,,0,CAM,5,,2964
veh5,3011,,3.01583,1,CAM,10,5,3011
veh5,3024,,3.02858,1,CAM,12,5,3024
veh5,3023,,3.03258,1,CAM,4,5,3023
veh5,3024,,3.04333,1,CAM,6,5,3024
veh5,3080,,3.08833,1,CAM,2,5,3080
veh5,3095,,3.10333,1,CAM,13,5,3095
veh5,3109,,3.11158,1,CAM,8,5,3109
veh5,3111,,3.11433,1,CAM,7,5,3111
veh5,3164,3.16414,,0,CAM,5,,3164
veh5,3166,,3.17283,1,CAM,16,5,3166
veh5,3211,,3.21583,1,CAM,10,5,3211
veh5,3224,,3.22858,1,CAM,12,5,3224
veh5,3224,,3.24333,1,CAM,6,5,3224
veh5,3280,,3.28833,1,CAM,2,5,3280
veh5,3295,,3.30333,1,CAM,13,5,3295
veh5,3309,,3.31158,1,CAM,8,5,3309
veh5,3311,,3.31433,1,CAM,7,5,3311
veh5,3297,,3.31458,1,CAM,3,5,3297
veh5,3364,3.36414,,0,CAM,5,,3364
veh5,3366,,3.37208,1,CAM,16,5,3366
veh5,3411,,3.41583,1,CAM,10,5,3411
veh5,3406,,3.41933,1,CAM,1,5,3406
veh5,3424,,3.44283,1,CAM,12,5,3424
veh5,3480,,3.49283,1,CAM,2,5,3480
veh5,3495,,3.50333,1,CAM,13,5,3495
veh5,3511,,3.51433,1,CAM,7,5,3511
veh5,3509,,3.52908,1,CAM,8,5,3509
veh5,3564,3.56414,,0,CAM,5,,3564
veh5,3566,,3.57208,1,CAM,16,5,3566
veh5,3611,,3.61583,1,CAM,10,5,3611
veh5,3624,,3.64283,1,CAM,12,5,3624
veh5,3680,,3.69283,1,CAM,2,5,3680
veh5,3695,,3.70333,1,CAM,13,5,3695
veh5,3709,,3.72908,1,CAM,8,5,3709
veh5,3711,,3.72983,1,CAM,7,5,3711
veh5,3724,,3.74333,1,CAM,6,5,3724
veh5,3764,3.76414,,0,CAM,5,,3764
veh5,3766,,3.77208,1,CAM,16,5,3766
veh5,3811,,3.81283,1,CAM,10,5,3811
veh5,3823,,3.82483,1,CAM,4,5,3823
veh5,3824,,3.84283,1,CAM,12,5,3824
veh5,3880,,3.89283,1,CAM,2,5,3880
veh5,3895,,3.89758,1,CAM,13,5,3895
