vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh9,1450,1.45074,,0,CAM,9,,1450,-1
veh9,1650,1.65074,,0,CAM,9,,1650,-1
veh9,1850,1.85074,,0,CAM,9,,1850,-1
veh9,2007,,2.01608,1,CAM,5,9,2007,-1
veh9,2019,,2.02333,1,CAM,4,9,2019,-1
veh9,2050,2.05074,,0,CAM,9,,2050,-1
veh9,2052,,2.05958,1,CAM,6,9,2052,-1
veh9,2131,,2.13408,1,CAM,8,9,2131,-1
veh9,2133,,2.14283,1,CAM,3,9,2133,-1
veh9,2142,,2.14908,1,CAM,7,9,2142,-1
veh9,2152,,2.15458,1,CAM,6,9,2152,-1
veh9,2179,,2.19008,1,CAM,10,9,2179,-1
veh9,2196,,2.21233,1,CAM,2,9,2196,-1
veh9,2207,,2.21608,1,CAM,5,9,2207,-1
veh9,2219,,2.22333,1,CAM,4,9,2219,-1
veh9,2250,2.25074,,0,CAM,9,,2250,-1
veh9,2331,,2.33408,1,CAM,8,9,2331,-1
veh9,2333,,2.34283,1,CAM,3,9,2333,-1
veh9,2352,,2.35458,1,CAM,6,9,2352,-1
veh9,2342,,2.36458,1,CAM,7,9,2342,-1
veh9,2379,,2.39008,1,CAM,10,9,2379,-1
veh9,2396,,2.41233,1,CAM,2,9,2396,-1
veh9,2407,,2.41608,1,CAM,5,9,2407,-1
veh9,2419,,2.42333,1,CAM,4,9,2419,-1
veh9,2450,2.45074,,0,CAM,9,,2450,-1
veh9,2531,,2.53408,1,CAM,8,9,2531,-1
veh9,2533,,2.54283,1,CAM,3,9,2533,-1
veh9,2550,2.55074,,0,CAM,9,,2550,-1
veh9,2579,,2.59008,1,CAM,10,9,2579,-1
veh9,2596,,2.61233,1,CAM,2,9,2596,-1
veh9,2607,,2.61608,1,CAM,5,9,2607,-1
veh9,2598,,2.61733,1,CAM,11,9,2598,-1
veh9,2619,,2.62333,1,CAM,4,9,2619,-1
veh9,2633,,2.64733,1,CAM,3,9,2633,-1
veh9,2650,2.65074,,0,CAM,9,,2650,-1
veh9,2707,,2.71608,1,CAM,5,9,2707,-1
veh9,2698,,2.71733,1,CAM,11,9,2698,-1
veh9,2731,,2.73408,1,CAM,8,9,2731,-1
veh9,2733,,2.74733,1,CAM,3,9,2733,-1
veh9,2750,2.75074,,0,CAM,9,,2750,-1
veh9,2752,,2.76733,1,CAM,6,9,2752,-1
veh9,2779,,2.79008,1,CAM,10,9,2779,-1
veh9,2796,,2.80308,1,CAM,2,9,2796,-1
veh9,2807,,2.81608,1,CAM,5,9,2807,-1
veh9,2798,,2.81733,1,CAM,11,9,2798,-1
veh9,2819,,2.84433,1,CAM,4,9,2819,-1
veh9,2833,,2.84733,1,CAM,3,9,2833,-1
veh9,2850,2.85074,,0,CAM,9,,2850,-1
veh9,2742,,2.85483,1,CAM,7,9,2742,-1
veh9,2907,,2.91608,1,CAM,5,9,2907,-1
veh9,2898,,2.91733,1,CAM,11,9,2898,-1
veh9,2931,,2.93408,1,CAM,8,9,2931,-1
veh9,2933,,2.94733,1,CAM,3,9,2933,-1
veh9,2942,,2.95483,1,CAM,7,9,2942,-1
veh9,2952,,2.96733,1,CAM,6,9,2952,-1
veh9,3001,,3.00283,1,CAM,12,9,3001,-1
veh9,2996,,3.00308,1,CAM,2,9,2996,-1
veh9,3007,,3.01608,1,CAM,5,9,3007,-1
veh9,2998,,3.01733,1,CAM,11,9,2998,-1
veh9,3019,,3.03633,1,CAM,4,9,3019,-1
veh9,3033,,3.04733,1,CAM,3,9,3033,-1
veh9,3050,3.05074,,0,CAM,9,,3050,-1
veh9,3079,,3.09008,1,CAM,10,9,3079,-1
veh9,3107,,3.11608,1,CAM,5,9,3107,-1
veh9,3098,,3.11733,1,CAM,11,9,3098,-1
veh9,3131,,3.13408,1,CAM,8,9,3131,-1
veh9,3133,,3.14733,1,CAM,3,9,3133,-1
veh9,3142,,3.15483,1,CAM,7,9,3142,-1
veh9,3152,,3.16733,1,CAM,6,9,3152,-1
veh9,3196,,3.20308,1,CAM,2,9,3196,-1
veh9,3207,,3.20833,1,CAM,5,9,3207,-1
veh9,3219,,3.23633,1,CAM,4,9,3219,-1
veh9,3233,,3.24733,1,CAM,3,9,3233,-1
veh9,3250,3.25074,,0,CAM,9,,3250,-1
veh9,3242,,3.25383,1,CAM,7,9,3242,-1
veh9,3279,,3.28758,1,CAM,10,9,3279,-1
veh9,3301,,3.30283,1,CAM,12,9,3301,-1
veh9,3307,,3.30833,1,CAM,5,9,3307,-1
veh9,3333,,3.34733,1,CAM,3,9,3333,-1
veh9,3331,,3.34958,1,CAM,8,9,3331,-1
veh9,3342,,3.35383,1,CAM,7,9,3342,-1
veh9,3352,,3.36733,1,CAM,6,9,3352,-1
veh9,3379,,3.38758,1,CAM,10,9,3379,-1
veh9,3396,,3.40308,1,CAM,2,9,3396,-1
veh9,3407,,3.40833,1,CAM,5,9,3407,-1
veh9,3419,,3.43008,1,CAM,4,9,3419,-1
veh9,3450,3.45074,,0,CAM,9,,3450,-1
veh9,3442,,3.45383,1,CAM,7,9,3442,-1
veh9,3479,,3.48758,1,CAM,10,9,3479,-1
veh9,3533,,3.54008,1,CAM,3,9,3533,-1
veh9,3531,,3.54958,1,CAM,8,9,3531,-1
veh9,3542,,3.55383,1,CAM,7,9,3542,-1
veh9,3552,,3.56733,1,CAM,6,9,3552,-1
veh9,3579,,3.58758,1,CAM,10,9,3579,-1
veh9,3601,,3.60208,1,CAM,12,9,3601,-1
veh9,3596,,3.60308,1,CAM,2,9,3596,-1
veh9,3607,,3.60833,1,CAM,5,9,3607,-1
veh9,3619,,3.63008,1,CAM,4,9,3619,-1
veh9,3650,3.65074,,0,CAM,9,,3650,-1
veh9,3642,,3.65383,1,CAM,7,9,3642,-1
veh9,3679,,3.68758,1,CAM,10,9,3679,-1
veh9,3698,,3.71433,1,CAM,11,9,3698,-1
veh9,3733,,3.74008,1,CAM,3,9,3733,-1
veh9,3731,,3.74958,1,CAM,8,9,3731,-1
veh9,3742,,3.75383,1,CAM,7,9,3742,-1
veh9,3752,,3.75983,1,CAM,6,9,3752,-1
veh9,3779,,3.78758,1,CAM,10,9,3779,-1
veh9,3796,,3.80308,1,CAM,2,9,3796,-1
veh9,3807,,3.80833,1,CAM,5,9,3807,-1
veh9,3819,,3.83008,1,CAM,4,9,3819,-1
veh9,3850,3.85074,,0,CAM,9,,3850,-1
veh9,3842,,3.85383,1,CAM,7,9,3842,-1
veh9,3879,,3.89308,1,CAM,10,9,3879,-1
veh9,3901,,3.90208,1,CAM,12,9,3901,-1
veh9,3919,,3.93008,1,CAM,4,9,3919,-1
