vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh12,1457,1.45743,,0,CAM,12,,1457,-1
veh12,1657,1.65743,,0,CAM,12,,1657,-1
veh12,1857,1.85743,,0,CAM,12,,1857,-1
veh12,2001,,2.01033,1,CAM,3,12,2001,-1
veh12,2037,,2.03958,1,CAM,9,12,2037,-1
veh12,2034,,2.04358,1,CAM,6,12,2034,-1
veh12,2057,2.05743,,0,CAM,12,,2057,-1
veh12,2055,,2.08483,1,CAM,7,12,2055,-1
veh12,2084,,2.08858,1,CAM,8,12,2084,-1
veh12,2086,,2.09008,1,CAM,5,12,2086,-1
veh12,2101,,2.11033,1,CAM,3,12,2101,-1
veh12,2128,,2.13008,1,CAM,4,12,2128,-1
veh12,2123,,2.13683,1,CAM,2,12,2123,-1
veh12,2134,,2.14358,1,CAM,6,12,2134,-1
veh12,2138,,2.14433,1,CAM,11,12,2138,-1
veh12,2155,,2.17358,1,CAM,10,12,2155,-1
veh12,2184,,2.18858,1,CAM,8,12,2184,-1
veh12,2186,,2.19008,1,CAM,5,12,2186,-1
veh12,2201,,2.21033,1,CAM,3,12,2201,-1
veh12,2237,,2.23958,1,CAM,9,12,2237,-1
veh12,2234,,2.24358,1,CAM,6,12,2234,-1
veh12,2257,2.25743,,0,CAM,12,,2257,-1
veh12,2255,,2.27358,1,CAM,10,12,2255,-1
veh12,2284,,2.28858,1,CAM,8,12,2284,-1
veh12,2286,,2.29008,1,CAM,5,12,2286,-1
veh12,2301,,2.31033,1,CAM,3,12,2301,-1
veh12,2328,,2.33008,1,CAM,4,12,2328,-1
veh12,2323,,2.33683,1,CAM,2,12,2323,-1
veh12,2338,,2.34433,1,CAM,11,12,2338,-1
veh12,2355,,2.37358,1,CAM,10,12,2355,-1
veh12,2384,,2.38858,1,CAM,8,12,2384,-1
veh12,2386,,2.39008,1,CAM,5,12,2386,-1
veh12,2401,,2.41033,1,CAM,3,12,2401,-1
veh12,2437,,2.43958,1,CAM,9,12,2437,-1
veh12,2434,,2.44358,1,CAM,6,12,2434,-1
veh12,2457,2.45743,,0,CAM,12,,2457,-1
veh12,2455,,2.47358,1,CAM,10,12,2455,-1
veh12,2486,,2.49008,1,CAM,5,12,2486,-1
veh12,2501,,2.51033,1,CAM,3,12,2501,-1
veh12,2528,,2.53008,1,CAM,4,12,2528,-1
veh12,2523,,2.53683,1,CAM,2,12,2523,-1
veh12,2538,,2.54433,1,CAM,11,12,2538,-1
veh12,2555,,2.57358,1,CAM,10,12,2555,-1
veh12,2584,,2.58858,1,CAM,8,12,2584,-1
