time_s,vehicle_id,event_type,source_id,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.18733,veh9,lane0_slowdown,2,9.19775,0.00724887,0,0,3.47
2.38733,veh9,lane0_slowdown,2,10.404,0.00724887,0,0,3.47
2.58733,veh9,lane0_slowdown,2,11.6014,0.00724887,0,0,3.47
2.78733,veh9,lane0_slowdown,2,12.8081,0.00724887,0,0,3.47
2.99183,veh9,lane0_slowdown,2,14.0072,0.00724887,0,0,3.47
3.19183,veh9,lane0_slowdown,2,15.3309,0.00724887,0,0,3.47
3.39183,veh9,lane0_slowdown,2,16.7587,0.00724887,0,0,3.47
3.59183,veh9,lane0_slowdown,2,18.3234,0.00724887,0,0,3.47
3.80458,veh9,lane0_slowdown,2,19.6685,0.00724887,0,0,3.47
4.00458,veh9,lane0_slowdown,2,21.498,0.00724887,0,0,3.47
4.20458,veh9,lane0_slowdown,2,23.4334,0.00724887,0,0,3.47
4.30458,veh9,lane0_slowdown,2,24.1839,5.90725,0,0,3.47
4.40458,veh9,lane0_slowdown,2,24.8783,15.4072,0,0,3.47
4.49658,veh9,lane0_slowdown,2,25.9704,25.6072,0,0,3.47
4.59658,veh9,lane0_slowdown,2,26.7829,35.8072,0,0,3.47
10.1036,veh9,lane0_slowdown,2,21.1127,7.53104,0,0,3.47
11.1033,veh9,lane0_slowdown,2,16.9158,0.00196809,0,0,3.47
12.0981,veh9,lane0_slowdown,2,13.769,0.00196809,0,0,3.47
13.1056,veh9,lane0_slowdown,2,10.3489,0.00196809,0,0,3.47
13.3056,veh9,lane0_slowdown,2,10.1171,0.00196809,0,0,3.47
13.5056,veh9,lane0_slowdown,2,10.0493,0.00196809,0,0,3.47
13.7028,veh9,lane0_slowdown,2,10.1137,0.00196809,0,0,3.47
13.9028,veh9,lane0_slowdown,2,10.2659,0.00196809,0,0,3.47
14.1028,veh9,lane0_slowdown,2,10.4657,0.801968,0,0,3.47
14.3028,veh9,lane0_slowdown,2,10.8006,4.00197,0,0,3.47
14.5028,veh9,lane0_slowdown,2,11.3102,7.80197,0,0,3.47
14.6981,veh9,lane0_slowdown,2,12.3209,12.102,0,0,3.47
14.8981,veh9,lane0_slowdown,2,13.1469,16.902,0,0,3.47
