vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh13,2638,,2.64258,1,CAM,10,13,2638
veh13,2641,,2.65383,1,CAM,2,13,2641
veh13,2712,,2.71583,1,CAM,8,13,2712
veh13,2723,,2.73633,1,CAM,12,13,2723
veh13,2736,,2.75408,1,CAM,6,13,2736
veh13,2771,,2.77508,1,CAM,5,13,2771
veh13,2791,,2.79358,1,CAM,9,13,2791
veh13,2806,,2.80858,1,CAM,1,13,2806
veh13,2823,,2.82758,1,CAM,3,13,2823
veh13,2838,,2.84258,1,CAM,10,13,2838
veh13,2831,,2.84483,1,CAM,16,13,2831
veh13,2841,,2.85383,1,CAM,2,13,2841
veh13,2912,,2.91583,1,CAM,8,13,2912
veh13,2923,,2.93633,1,CAM,12,13,2923
veh13,2936,,2.95408,1,CAM,6,13,2936
veh13,2971,,2.97508,1,CAM,5,13,2971
veh13,3023,,3.02758,1,CAM,3,13,3023
veh13,3038,,3.04258,1,CAM,10,13,3038
veh13,3031,,3.04483,1,CAM,16,13,3031
veh13,3041,,3.05383,1,CAM,2,13,3041
veh13,3112,,3.11583,1,CAM,8,13,3112
veh13,3123,,3.13633,1,CAM,12,13,3123
veh13,3136,,3.14433,1,CAM,6,13,3136
veh13,3171,,3.17508,1,CAM,5,13,3171
veh13,3231,,3.23333,1,CAM,16,13,3231
veh13,3238,,3.24258,1,CAM,10,13,3238
veh13,3241,,3.25833,1,CAM,2,13,3241
veh13,3289,3.28914,,0,CAM,13,,3289
veh13,3323,,3.33633,1,CAM,12,13,3323
veh13,3371,,3.38758,1,CAM,5,13,3371
veh13,3406,,3.41933,1,CAM,1,13,3406
veh13,3431,,3.43333,1,CAM,16,13,3431
veh13,3438,,3.44258,1,CAM,10,13,3438
veh13,3460,,3.47208,1,CAM,14,13,3460
veh13,3489,3.48914,,0,CAM,13,,3489
veh13,3523,,3.52733,1,CAM,12,13,3523
