vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh6,134,0.134088,,0,CAM,6,,134
veh6,334,0.334088,,0,CAM,6,,334
veh6,534,0.534088,,0,CAM,6,,534
veh6,734,0.734088,,0,CAM,6,,734
veh6,934,0.934088,,0,CAM,6,,934
veh6,1134,1.13409,,0,CAM,6,,1134
veh6,1334,1.33409,,0,CAM,6,,1334
veh6,1534,1.53409,,0,CAM,6,,1534
veh6,1734,1.73409,,0,CAM,6,,1734
veh6,1934,1.93409,,0,CAM,6,,1934
veh6,2024,,2.03233,1,CAM,2,6,2024
veh6,2041,,2.05008,1,CAM,3,6,2041
veh6,2083,,2.08608,1,CAM,5,6,2083
veh6,2125,,2.13108,1,CAM,4,6,2125
veh6,2134,2.13409,,0,CAM,6,,2134
veh6,2142,,2.16083,1,CAM,1,6,2142
veh6,2224,,2.23233,1,CAM,2,6,2224
veh6,2241,,2.25008,1,CAM,3,6,2241
veh6,2283,,2.28608,1,CAM,5,6,2283
veh6,2325,,2.33108,1,CAM,4,6,2325
veh6,2334,2.33409,,0,CAM,6,,2334
veh6,2344,,2.35083,1,CAM,12,6,2344
veh6,2342,,2.36083,1,CAM,1,6,2342
veh6,2419,,2.42133,1,CAM,8,6,2419
veh6,2424,,2.43233,1,CAM,2,6,2424
veh6,2441,,2.45008,1,CAM,3,6,2441
veh6,2483,,2.48608,1,CAM,5,6,2483
veh6,2534,2.53409,,0,CAM,6,,2534
veh6,2544,,2.55083,1,CAM,12,6,2544
veh6,2542,,2.56083,1,CAM,1,6,2542
veh6,2569,,2.57208,1,CAM,7,6,2569
veh6,2619,,2.62133,1,CAM,8,6,2619
veh6,2624,,2.63233,1,CAM,2,6,2624
veh6,2641,,2.64308,1,CAM,3,6,2641
veh6,2683,,2.68608,1,CAM,5,6,2683
veh6,2734,2.73409,,0,CAM,6,,2734
veh6,2744,,2.75083,1,CAM,12,6,2744
veh6,2742,,2.75158,1,CAM,1,6,2742
veh6,2769,,2.77208,1,CAM,7,6,2769
veh6,2819,,2.82133,1,CAM,8,6,2819
veh6,2824,,2.83233,1,CAM,2,6,2824
veh6,2841,,2.84308,1,CAM,3,6,2841
veh6,2840,,2.84733,1,CAM,10,6,2840
veh6,2883,,2.88608,1,CAM,5,6,2883
veh6,2893,,2.90333,1,CAM,13,6,2893
veh6,2934,2.93409,,0,CAM,6,,2934
veh6,2944,,2.95083,1,CAM,12,6,2944
veh6,2969,,2.97208,1,CAM,7,6,2969
veh6,3019,,3.02133,1,CAM,8,6,3019
veh6,3024,,3.03233,1,CAM,2,6,3024
veh6,3040,,3.04733,1,CAM,10,6,3040
veh6,3083,,3.09883,1,CAM,5,6,3083
veh6,3093,,3.10333,1,CAM,13,6,3093
veh6,3125,,3.13108,1,CAM,4,6,3125
veh6,3134,3.13409,,0,CAM,6,,3134
veh6,3144,,3.15083,1,CAM,12,6,3144
veh6,3169,,3.17208,1,CAM,7,6,3169
veh6,3219,,3.22133,1,CAM,8,6,3219
veh6,3224,,3.23233,1,CAM,2,6,3224
veh6,3240,,3.24733,1,CAM,10,6,3240
veh6,3283,,3.29883,1,CAM,5,6,3283
veh6,3293,,3.30333,1,CAM,13,6,3293
veh6,3299,,3.31283,1,CAM,16,6,3299
veh6,3344,,3.35083,1,CAM,12,6,3344
veh6,3342,,3.35158,1,CAM,1,6,3342
veh6,3369,,3.37208,1,CAM,7,6,3369
veh6,3419,,3.42133,1,CAM,8,6,3419
veh6,3424,,3.43683,1,CAM,2,6,3424
veh6,3441,,3.44308,1,CAM,3,6,3441
veh6,3440,,3.44733,1,CAM,10,6,3440
veh6,3483,,3.49883,1,CAM,5,6,3483
veh6,3493,,3.50333,1,CAM,13,6,3493
veh6,3499,,3.51208,1,CAM,16,6,3499
veh6,3544,,3.56508,1,CAM,12,6,3544
veh6,3569,,3.57208,1,CAM,7,6,3569
veh6,3619,,3.62133,1,CAM,8,6,3619
veh6,3634,3.63409,,0,CAM,6,,3634
veh6,3683,,3.69883,1,CAM,5,6,3683
veh6,3693,,3.70333,1,CAM,13,6,3693
veh6,3699,,3.71208,1,CAM,16,6,3699
veh6,3744,,3.76508,1,CAM,12,6,3744
veh6,3769,,3.78758,1,CAM,7,6,3769
veh6,3824,,3.83683,1,CAM,2,6,3824
veh6,3819,,3.83883,1,CAM,8,6,3819
veh6,3893,,3.89758,1,CAM,13,6,3893
veh6,3883,,3.89883,1,CAM,5,6,3883
veh6,3899,,3.91208,1,CAM,16,6,3899
veh6,3917,,3.92258,1,CAM,18,6,3917
veh6,3925,,3.93883,1,CAM,4,6,3925
veh6,3840,,3.94433,1,CAM,10,6,3840
veh6,3942,,3.94908,1,CAM,1,6,3942
veh6,3944,,3.96508,1,CAM,12,6,3944
veh6,3969,,3.98758,1,CAM,7,6,3969
veh6,4024,,4.03683,1,CAM,2,6,4024
veh6,4019,,4.03883,1,CAM,8,6,4019
veh6,4041,,4.04308,1,CAM,3,6,4041
veh6,4040,,4.08433,1,CAM,10,6,4040
veh6,4093,,4.09758,1,CAM,13,6,4093
veh6,4083,,4.09883,1,CAM,5,6,4083
veh6,4099,,4.11083,1,CAM,16,6,4099
veh6,4117,,4.12258,1,CAM,18,6,4117
veh6,4134,4.13409,,0,CAM,6,,4134
