vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh10,979,0.979007,,0,CAM,10,,979,-1
veh10,1079,1.07901,,0,CAM,10,,1079,-1
veh10,1179,1.17901,,0,CAM,10,,1179,-1
veh10,1279,1.27901,,0,CAM,10,,1279,-1
veh10,1379,1.37901,,0,CAM,10,,1379,-1
veh10,1479,1.47901,,0,CAM,10,,1479,-1
veh10,1579,1.57901,,0,CAM,10,,1579,-1
veh10,1779,1.77901,,0,CAM,10,,1779,-1
veh10,1979,1.97901,,0,CAM,10,,1979,-1
veh10,2007,,2.01608,1,CAM,5,10,2007,-1
veh10,2019,,2.03408,1,CAM,4,10,2019,-1
veh10,2052,,2.05958,1,CAM,6,10,2052,-1
veh10,2050,,2.06358,1,CAM,9,10,2050,-1
veh10,2131,,2.13408,1,CAM,8,10,2131,-1
veh10,2133,,2.14283,1,CAM,3,10,2133,-1
veh10,2142,,2.14908,1,CAM,7,10,2142,-1
veh10,2152,,2.15458,1,CAM,6,10,2152,-1
veh10,2179,2.17901,,0,CAM,10,,2179,-1
veh10,2196,,2.21233,1,CAM,2,10,2196,-1
veh10,2207,,2.21608,1,CAM,5,10,2207,-1
veh10,2219,,2.23408,1,CAM,4,10,2219,-1
veh10,2250,,2.25458,1,CAM,9,10,2250,-1
veh10,2331,,2.33408,1,CAM,8,10,2331,-1
veh10,2333,,2.34283,1,CAM,3,10,2333,-1
veh10,2342,,2.34908,1,CAM,7,10,2342,-1
veh10,2352,,2.35958,1,CAM,6,10,2352,-1
veh10,2379,2.37901,,0,CAM,10,,2379,-1
veh10,2407,,2.41608,1,CAM,5,10,2407,-1
veh10,2396,,2.42058,1,CAM,2,10,2396,-1
veh10,2533,,2.54283,1,CAM,3,10,2533,-1
veh10,2450,,2.55458,1,CAM,9,10,2450,-1
veh10,2552,,2.55458,1,CAM,6,10,2552,-1
veh10,2579,2.57901,,0,CAM,10,,2579,-1
veh10,2596,,2.61233,1,CAM,2,10,2596,-1
veh10,2607,,2.61608,1,CAM,5,10,2607,-1
veh10,2598,,2.61733,1,CAM,11,10,2598,-1
veh10,2633,,2.64733,1,CAM,3,10,2633,-1
veh10,2707,,2.71608,1,CAM,5,10,2707,-1
veh10,2698,,2.71733,1,CAM,11,10,2698,-1
veh10,2733,,2.74733,1,CAM,3,10,2733,-1
veh10,2752,,2.76733,1,CAM,6,10,2752,-1
veh10,2779,2.77901,,0,CAM,10,,2779,-1
veh10,2796,,2.80308,1,CAM,2,10,2796,-1
veh10,2807,,2.81608,1,CAM,5,10,2807,-1
veh10,2798,,2.81733,1,CAM,11,10,2798,-1
veh10,2833,,2.84733,1,CAM,3,10,2833,-1
veh10,2742,,2.85483,1,CAM,7,10,2742,-1
veh10,2907,,2.91608,1,CAM,5,10,2907,-1
veh10,2898,,2.91733,1,CAM,11,10,2898,-1
veh10,2819,,2.93633,1,CAM,4,10,2819,-1
veh10,2933,,2.94733,1,CAM,3,10,2933,-1
veh10,2942,,2.95483,1,CAM,7,10,2942,-1
veh10,2952,,2.96733,1,CAM,6,10,2952,-1
veh10,3001,,3.00283,1,CAM,12,10,3001,-1
veh10,2996,,3.00308,1,CAM,2,10,2996,-1
veh10,3007,,3.01608,1,CAM,5,10,3007,-1
veh10,2998,,3.01733,1,CAM,11,10,2998,-1
veh10,3019,,3.03633,1,CAM,4,10,3019,-1
veh10,3033,,3.04733,1,CAM,3,10,3033,-1
veh10,3079,3.07901,,0,CAM,10,,3079,-1
veh10,3107,,3.11608,1,CAM,5,10,3107,-1
veh10,3133,,3.14733,1,CAM,3,10,3133,-1
veh10,3142,,3.15483,1,CAM,7,10,3142,-1
veh10,3152,,3.16733,1,CAM,6,10,3152,-1
veh10,3196,,3.20308,1,CAM,2,10,3196,-1
veh10,3207,,3.20833,1,CAM,5,10,3207,-1
veh10,3219,,3.23633,1,CAM,4,10,3219,-1
veh10,3233,,3.24733,1,CAM,3,10,3233,-1
veh10,3242,,3.25983,1,CAM,7,10,3242,-1
veh10,3279,3.27901,,0,CAM,10,,3279,-1
veh10,3301,,3.30283,1,CAM,12,10,3301,-1
veh10,3307,,3.30833,1,CAM,5,10,3307,-1
veh10,3333,,3.34733,1,CAM,3,10,3333,-1
veh10,3352,,3.36733,1,CAM,6,10,3352,-1
veh10,3379,3.37901,,0,CAM,10,,3379,-1
veh10,3396,,3.40308,1,CAM,2,10,3396,-1
veh10,3419,,3.43008,1,CAM,4,10,3419,-1
veh10,3433,,3.44733,1,CAM,3,10,3433,-1
veh10,3479,3.47901,,0,CAM,10,,3479,-1
veh10,3507,,3.50833,1,CAM,5,10,3507,-1
veh10,3442,,3.55983,1,CAM,7,10,3442,-1
veh10,3542,,3.55983,1,CAM,7,10,3542,-1
