vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh1,206,0.206781,,0,CAM,1,,206
veh1,406,0.406781,,0,CAM,1,,406
veh1,606,0.606781,,0,CAM,1,,606
veh1,806,0.806781,,0,CAM,1,,806
veh1,1006,1.00678,,0,CAM,1,,1006
veh1,1206,1.20678,,0,CAM,1,,1206
veh1,1406,1.40678,,0,CAM,1,,1406
veh1,1606,1.60678,,0,CAM,1,,1606
veh1,1806,1.80678,,0,CAM,1,,1806
veh1,2006,2.00678,,0,CAM,1,,2006
veh1,2024,,2.02858,1,CAM,12,1,2024
veh1,2023,,2.03258,1,CAM,4,1,2023
veh1,2024,,2.03308,1,CAM,6,1,2024
veh1,2097,,2.10158,1,CAM,3,1,2097
veh1,2109,,2.11158,1,CAM,8,1,2109
veh1,2164,,2.16658,1,CAM,5,1,2164
veh1,2206,2.20678,,0,CAM,1,,2206
veh1,2211,,2.21583,1,CAM,10,1,2211
veh1,2224,,2.22858,1,CAM,12,1,2224
veh1,2223,,2.23258,1,CAM,4,1,2223
veh1,2224,,2.23308,1,CAM,6,1,2224
veh1,2280,,2.29958,1,CAM,2,1,2280
veh1,2297,,2.30158,1,CAM,3,1,2297
veh1,2309,,2.31158,1,CAM,8,1,2309
veh1,2364,,2.36658,1,CAM,5,1,2364
veh1,2406,2.40678,,0,CAM,1,,2406
veh1,2411,,2.41583,1,CAM,10,1,2411
veh1,2424,,2.42858,1,CAM,12,1,2424
veh1,2424,,2.43308,1,CAM,6,1,2424
veh1,2480,,2.49958,1,CAM,2,1,2480
veh1,2497,,2.50158,1,CAM,3,1,2497
veh1,2509,,2.51158,1,CAM,8,1,2509
veh1,2564,,2.56658,1,CAM,5,1,2564
veh1,2606,2.60678,,0,CAM,1,,2606
veh1,2611,,2.61583,1,CAM,10,1,2611
veh1,2624,,2.62858,1,CAM,12,1,2624
veh1,2624,,2.64333,1,CAM,6,1,2624
veh1,2680,,2.69958,1,CAM,2,1,2680
veh1,2697,,2.70158,1,CAM,3,1,2697
veh1,2709,,2.71158,1,CAM,8,1,2709
veh1,2764,,2.76658,1,CAM,5,1,2764
veh1,2806,2.80678,,0,CAM,1,,2806
veh1,2811,,2.81583,1,CAM,10,1,2811
veh1,2824,,2.82858,1,CAM,12,1,2824
veh1,2824,,2.84333,1,CAM,6,1,2824
veh1,2895,,2.90333,1,CAM,13,1,2895
veh1,2909,,2.91158,1,CAM,8,1,2909
veh1,2911,,2.91433,1,CAM,7,1,2911
veh1,2964,,2.96658,1,CAM,5,1,2964
veh1,3011,,3.01583,1,CAM,10,1,3011
veh1,3024,,3.02858,1,CAM,12,1,3024
veh1,3023,,3.03258,1,CAM,4,1,3023
veh1,3024,,3.04333,1,CAM,6,1,3024
veh1,3095,,3.10333,1,CAM,13,1,3095
veh1,3109,,3.11158,1,CAM,8,1,3109
veh1,3111,,3.11433,1,CAM,7,1,3111
veh1,3164,,3.16658,1,CAM,5,1,3164
veh1,3166,,3.17283,1,CAM,16,1,3166
veh1,3211,,3.21583,1,CAM,10,1,3211
veh1,3224,,3.22858,1,CAM,12,1,3224
veh1,3224,,3.24333,1,CAM,6,1,3224
veh1,3295,,3.30333,1,CAM,13,1,3295
veh1,3309,,3.31158,1,CAM,8,1,3309
veh1,3311,,3.31433,1,CAM,7,1,3311
veh1,3297,,3.31458,1,CAM,3,1,3297
veh1,3364,,3.36658,1,CAM,5,1,3364
veh1,3366,,3.37208,1,CAM,16,1,3366
veh1,3406,3.40678,,0,CAM,1,,3406
veh1,3411,,3.41583,1,CAM,10,1,3411
veh1,3424,,3.44283,1,CAM,12,1,3424
