vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh7,1055,1.05588,,0,CAM,7,,1055,-1
veh7,1255,1.25588,,0,CAM,7,,1255,-1
veh7,1455,1.45588,,0,CAM,7,,1455,-1
veh7,1655,1.65588,,0,CAM,7,,1655,-1
veh7,1755,1.75588,,0,CAM,7,,1755,-1
veh7,1855,1.85588,,0,CAM,7,,1855,-1
veh7,1955,1.95588,,0,CAM,7,,1955,-1
veh7,2034,,2.04358,1,CAM,6,7,2034,-1
veh7,2055,2.05588,,0,CAM,7,,2055,-1
veh7,2063,,2.06633,1,CAM,3,7,2063,-1
veh7,2070,,2.07908,1,CAM,9,7,2070,-1
veh7,2084,,2.08858,1,CAM,8,7,2084,-1
veh7,2087,,2.09058,1,CAM,4,7,2087,-1
veh7,2099,,2.10133,1,CAM,5,7,2099,-1
veh7,2123,,2.13683,1,CAM,2,7,2123,-1
veh7,2163,,2.16633,1,CAM,3,7,2163,-1
veh7,2170,,2.17908,1,CAM,9,7,2170,-1
veh7,2199,,2.20133,1,CAM,5,7,2199,-1
veh7,2234,,2.24358,1,CAM,6,7,2234,-1
veh7,2255,2.25588,,0,CAM,7,,2255,-1
veh7,2263,,2.26633,1,CAM,3,7,2263,-1
veh7,2269,,2.27608,1,CAM,10,7,2269,-1
veh7,2270,,2.27908,1,CAM,9,7,2270,-1
veh7,2284,,2.28858,1,CAM,8,7,2284,-1
veh7,2287,,2.29058,1,CAM,4,7,2287,-1
veh7,2299,,2.30133,1,CAM,5,7,2299,-1
veh7,2323,,2.33683,1,CAM,2,7,2323,-1
veh7,2334,,2.34358,1,CAM,6,7,2334,-1
veh7,2356,,2.36483,1,CAM,11,7,2356,-1
veh7,2363,,2.36633,1,CAM,3,7,2363,-1
veh7,2370,,2.37908,1,CAM,9,7,2370,-1
veh7,2399,,2.40133,1,CAM,5,7,2399,-1
veh7,2434,,2.44358,1,CAM,6,7,2434,-1
veh7,2455,2.45588,,0,CAM,7,,2455,-1
veh7,2463,,2.46633,1,CAM,3,7,2463,-1
veh7,2470,,2.47908,1,CAM,9,7,2470,-1
veh7,2484,,2.48858,1,CAM,8,7,2484,-1
veh7,2487,,2.49058,1,CAM,4,7,2487,-1
veh7,2499,,2.50133,1,CAM,5,7,2499,-1
veh7,2523,,2.53683,1,CAM,2,7,2523,-1
veh7,2534,,2.54358,1,CAM,6,7,2534,-1
veh7,2563,,2.56633,1,CAM,3,7,2563,-1
veh7,2569,,2.57608,1,CAM,10,7,2569,-1
veh7,2584,,2.58858,1,CAM,8,7,2584,-1
veh7,2599,,2.60133,1,CAM,5,7,2599,-1
veh7,2634,,2.64358,1,CAM,6,7,2634,-1
veh7,2655,2.65588,,0,CAM,7,,2655,-1
veh7,2656,,2.66183,1,CAM,11,7,2656,-1
veh7,2670,,2.67908,1,CAM,9,7,2670,-1
veh7,2684,,2.68858,1,CAM,8,7,2684,-1
veh7,2687,,2.69058,1,CAM,4,7,2687,-1
veh7,2723,,2.73683,1,CAM,2,7,2723,-1
veh7,2734,,2.74358,1,CAM,6,7,2734,-1
veh7,2763,,2.76633,1,CAM,3,7,2763,-1
veh7,2784,,2.80083,1,CAM,8,7,2784,-1
veh7,2799,,2.80133,1,CAM,5,7,2799,-1
veh7,2834,,2.84358,1,CAM,6,7,2834,-1
veh7,2855,2.85588,,0,CAM,7,,2855,-1
veh7,2869,,2.87608,1,CAM,10,7,2869,-1
veh7,2870,,2.87908,1,CAM,9,7,2870,-1
