vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh2,1123,1.12371,,0,CAM,2,,1123,-1
veh2,1323,1.32371,,0,CAM,2,,1323,-1
veh2,1523,1.52371,,0,CAM,2,,1523,-1
veh2,1723,1.72371,,0,CAM,2,,1723,-1
veh2,1923,1.92371,,0,CAM,2,,1923,-1
veh2,2024,,2.03308,1,CAM,3,2,2024,-1
veh2,2034,,2.04358,1,CAM,6,2,2034,-1
veh2,2064,,2.06808,1,CAM,7,2,2064,-1
veh2,2123,2.12371,,0,CAM,2,,2123,-1
veh2,2124,,2.13308,1,CAM,3,2,2124,-1
veh2,2137,,2.15233,1,CAM,5,2,2137,-1
veh2,2164,,2.16808,1,CAM,7,2,2164,-1
veh2,2175,,2.18633,1,CAM,4,2,2175,-1
veh2,2224,,2.23308,1,CAM,3,2,2224,-1
veh2,2234,,2.24358,1,CAM,6,2,2234,-1
veh2,2237,,2.25233,1,CAM,5,2,2237,-1
veh2,2264,,2.26808,1,CAM,7,2,2264,-1
veh2,2323,2.32371,,0,CAM,2,,2323,-1
veh2,2324,,2.33308,1,CAM,3,2,2324,-1
veh2,2334,,2.34358,1,CAM,6,2,2334,-1
veh2,2337,,2.35233,1,CAM,5,2,2337,-1
veh2,2364,,2.36808,1,CAM,7,2,2364,-1
veh2,2375,,2.38633,1,CAM,4,2,2375,-1
veh2,2424,,2.43308,1,CAM,3,2,2424,-1
veh2,2434,,2.44358,1,CAM,6,2,2434,-1
veh2,2437,,2.45233,1,CAM,5,2,2437,-1
veh2,2464,,2.46808,1,CAM,7,2,2464,-1
veh2,2523,2.52371,,0,CAM,2,,2523,-1
veh2,2524,,2.53308,1,CAM,3,2,2524,-1
veh2,2534,,2.54358,1,CAM,6,2,2534,-1
veh2,2537,,2.55233,1,CAM,5,2,2537,-1
veh2,2564,,2.56808,1,CAM,7,2,2564,-1
veh2,2575,,2.58633,1,CAM,4,2,2575,-1
veh2,2634,,2.64358,1,CAM,6,2,2634,-1
veh2,2637,,2.65233,1,CAM,5,2,2637,-1
veh2,2664,,2.66808,1,CAM,7,2,2664,-1
veh2,2723,2.72371,,0,CAM,2,,2723,-1
veh2,2724,,2.73308,1,CAM,3,2,2724,-1
veh2,2734,,2.74358,1,CAM,6,2,2734,-1
veh2,2737,,2.75233,1,CAM,5,2,2737,-1
veh2,2775,,2.78633,1,CAM,4,2,2775,-1
veh2,2834,,2.84358,1,CAM,6,2,2834,-1
veh2,2875,,2.88633,1,CAM,4,2,2875,-1
veh2,2923,2.92371,,0,CAM,2,,2923,-1
veh2,2924,,2.93308,1,CAM,3,2,2924,-1
veh2,2937,,2.94258,1,CAM,5,2,2937,-1
veh2,2964,,2.96808,1,CAM,7,2,2964,-1
veh2,2975,,2.99908,1,CAM,4,2,2975,-1
veh2,3075,,3.09908,1,CAM,4,2,3075,-1
veh2,3123,3.12371,,0,CAM,2,,3123,-1
veh2,3124,,3.13308,1,CAM,3,2,3124,-1
veh2,3137,,3.14258,1,CAM,5,2,3137,-1
veh2,3134,,3.14808,1,CAM,6,2,3134,-1
veh2,3175,,3.19908,1,CAM,4,2,3175,-1
veh2,3264,,3.28108,1,CAM,7,2,3264,-1
veh2,3275,,3.29908,1,CAM,4,2,3275,-1
veh2,3323,3.32371,,0,CAM,2,,3323,-1
veh2,3324,,3.32533,1,CAM,3,2,3324,-1
veh2,3337,,3.34258,1,CAM,5,2,3337,-1
veh2,3375,,3.39908,1,CAM,4,2,3375,-1
veh2,3434,,3.44808,1,CAM,6,2,3434,-1
veh2,3523,3.52371,,0,CAM,2,,3523,-1
veh2,3524,,3.52533,1,CAM,3,2,3524,-1
veh2,3537,,3.55583,1,CAM,5,2,3537,-1
veh2,3564,,3.58108,1,CAM,7,2,3564,-1
veh2,3575,,3.59908,1,CAM,4,2,3575,-1
veh2,3661,,3.66383,1,CAM,8,2,3661,-1
veh2,3723,3.72371,,0,CAM,2,,3723,-1
veh2,3724,,3.72533,1,CAM,3,2,3724,-1
veh2,3734,,3.74808,1,CAM,6,2,3734,-1
veh2,3737,,3.75583,1,CAM,5,2,3737,-1
veh2,3764,,3.78108,1,CAM,7,2,3764,-1
veh2,3775,,3.79908,1,CAM,4,2,3775,-1
veh2,3837,,3.84158,1,CAM,5,2,3837,-1
veh2,3864,,3.88108,1,CAM,7,2,3864,-1
veh2,3923,3.92371,,0,CAM,2,,3923,-1
veh2,3924,,3.94083,1,CAM,3,2,3924,-1
veh2,3937,,3.94158,1,CAM,5,2,3937,-1
veh2,3961,,3.96383,1,CAM,8,2,3961,-1
veh2,3975,,3.97908,1,CAM,4,2,3975,-1
veh2,3964,,3.98108,1,CAM,7,2,3964,-1
