vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh4,1528,1.52837,,0,CAM,4,,1528,-1
veh4,1728,1.72837,,0,CAM,4,,1728,-1
veh4,1928,1.92837,,0,CAM,4,,1928,-1
veh4,2001,,2.01033,0,CAM_DROP_PHY,3,4,2001,116
veh4,2015,,2.02358,0,CPM_DROP_PHY,6,4,2015,124
veh4,2020,,2.02433,0,CPM_DROP_PHY,11,4,2020,126
veh4,2030,,2.03408,0,CPM_DROP_PHY,7,4,2030,137
veh4,2037,,2.03958,0,CAM_DROP_PHY,9,4,2037,149
veh4,2034,,2.04358,0,CAM_DROP_PHY,6,4,2034,144
veh4,2057,,2.05933,0,CAM_DROP_PHY,12,4,2057,175
veh4,2070,,2.07358,0,CPM_DROP_PHY,10,4,2070,185
veh4,2055,,2.07408,0,CAM_DROP_PHY,7,4,2055,174
veh4,2079,,2.08858,0,CPM_DROP_PHY,8,4,2079,197
veh4,2084,,2.08858,0,CAM_DROP_PHY,8,4,2084,197
veh4,2086,,2.09008,0,CAM_DROP_PHY,5,4,2086,209
veh4,2088,,2.09033,0,CPM_DROP_PHY,3,4,2088,216
veh4,2095,,2.09683,0,CPM_DROP_PHY,2,4,2095,231
veh4,2081,,2.09958,0,CPM_DROP_PHY,9,4,2081,198
veh4,2101,,2.11033,0,CAM_DROP_PHY,3,4,2101,245
veh4,2115,,2.12358,0,CPM_DROP_PHY,6,4,2115,272
veh4,2120,,2.12433,0,CPM_DROP_PHY,11,4,2120,277
veh4,2128,2.12837,,0,CAM,4,,2128,-1
veh4,2123,,2.13683,0,CAM_DROP_PHY,2,4,2123,281
veh4,2134,,2.14358,0,CAM_DROP_PHY,6,4,2134,301
veh4,2138,,2.14433,0,CAM_DROP_PHY,11,4,2138,309
veh4,2155,,2.17358,0,CAM_DROP_PHY,10,4,2155,342
veh4,2184,,2.18858,0,CAM_DROP_PHY,8,4,2184,364
