vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh10,2006,,2.00858,1,CAM,1,10,2006
veh10,2023,,2.02758,1,CAM,3,10,2023
veh10,2041,,2.05383,1,CAM,2,10,2041
veh10,2134,,2.14658,1,CAM,4,10,2134
veh10,2136,,2.15408,1,CAM,6,10,2136
veh10,2171,,2.18233,1,CAM,5,10,2171
veh10,2191,,2.19358,1,CAM,9,10,2191
veh10,2206,,2.20858,1,CAM,1,10,2206
veh10,2223,,2.22758,1,CAM,3,10,2223
veh10,2238,2.23853,,0,CAM,10,,2238
veh10,2241,,2.25383,1,CAM,2,10,2241
veh10,2323,,2.32733,1,CAM,12,10,2323
veh10,2334,,2.34658,1,CAM,4,10,2334
veh10,2336,,2.35408,1,CAM,6,10,2336
veh10,2371,,2.38233,1,CAM,5,10,2371
veh10,2391,,2.39358,1,CAM,9,10,2391
veh10,2406,,2.40858,1,CAM,1,10,2406
veh10,2423,,2.42758,1,CAM,3,10,2423
veh10,2438,2.43853,,0,CAM,10,,2438
veh10,2441,,2.45383,1,CAM,2,10,2441
veh10,2512,,2.51583,1,CAM,8,10,2512
veh10,2523,,2.52733,1,CAM,12,10,2523
veh10,2536,,2.55408,1,CAM,6,10,2536
veh10,2571,,2.58233,1,CAM,5,10,2571
veh10,2591,,2.59358,1,CAM,9,10,2591
veh10,2606,,2.60858,1,CAM,1,10,2606
veh10,2623,,2.62758,1,CAM,3,10,2623
veh10,2638,2.63853,,0,CAM,10,,2638
veh10,2641,,2.65383,1,CAM,2,10,2641
veh10,2712,,2.71583,1,CAM,8,10,2712
veh10,2723,,2.72733,1,CAM,12,10,2723
veh10,2736,,2.75408,1,CAM,6,10,2736
veh10,2771,,2.77508,1,CAM,5,10,2771
veh10,2791,,2.79358,1,CAM,9,10,2791
veh10,2806,,2.80858,1,CAM,1,10,2806
veh10,2823,,2.82758,1,CAM,3,10,2823
veh10,2831,,2.83333,1,CAM,16,10,2831
veh10,2838,2.83853,,0,CAM,10,,2838
veh10,2841,,2.85383,1,CAM,2,10,2841
veh10,2912,,2.91583,1,CAM,8,10,2912
veh10,2923,,2.92733,1,CAM,12,10,2923
veh10,2936,,2.95408,1,CAM,6,10,2936
